[true theta], [true dTheta], [ar], [at], [imu dtheta]
0.000000, 0.000000, 0.409424, -0.898438, 0.036184
0.000000, 0.000000, 0.408447, -0.893799, 0.038312
0.000000, 0.000000, 0.403320, -0.898193, 0.036184
0.000000, 0.000000, 0.407471, -0.894531, 0.037248
0.000000, 0.000000, 0.403320, -0.899170, 0.034055
0.000000, 0.000000, 0.398682, -0.897949, 0.032991
0.000000, 0.000000, 0.406738, -0.896484, 0.035119
0.000000, 0.000000, 0.404053, -0.898926, 0.036184
0.000000, 0.000000, 0.405273, -0.893799, 0.035119
0.000000, 0.000000, 0.408203, -0.899658, 0.036184
0.000000, 0.000000, 0.408203, -0.895020, 0.036184
0.000000, 0.000000, 0.406738, -0.894531, 0.036184
0.000000, 0.000000, 0.410156, -0.900635, 0.035119
0.000000, 0.000000, 0.401367, -0.894287, 0.034055
0.000000, 0.000000, 0.402832, -0.899414, 0.037248
0.000000, 0.000000, 0.402100, -0.893066, 0.032991
0.000000, 0.000000, 0.411377, -0.893555, 0.035119
0.000000, 0.000000, 0.406250, -0.895508, 0.037248
0.000000, 0.000000, 0.393555, -0.890381, 0.035119
0.000000, 0.000000, 0.416992, -0.896484, 0.040441
0.000000, 0.000000, 0.409180, -0.889160, 0.039376
0.000000, 0.000000, 0.403076, -0.898193, 0.034055
0.000000, 0.000000, 0.395508, -0.900391, 0.037248
0.000000, 0.000000, 0.402100, -0.897705, 0.040441
0.000000, 0.000000, 0.400879, -0.896973, 0.037248
0.000000, 0.000000, 0.406250, -0.894287, 0.039376
0.000000, 0.000000, 0.411133, -0.893799, 0.035119
0.000000, 0.000000, 0.402588, -0.894287, 0.035119
0.000000, 0.000000, 0.398682, -0.905273, 0.036184
0.000000, 0.000000, 0.406494, -0.892334, 0.036184
0.000000, 0.000000, 0.406006, -0.896973, 0.037248
0.000000, 0.000000, 0.410400, -0.892578, 0.037248
0.000000, 0.000000, 0.404297, -0.895752, 0.038312
0.000000, 0.000000, 0.410400, -0.894287, 0.034055
0.000000, 0.000000, 0.406494, -0.897705, 0.036184
0.000000, 0.000000, 0.398438, -0.906006, 0.036184
0.000000, 0.000000, 0.414795, -0.901611, 0.036184
0.000000, 0.000000, 0.406250, -0.900146, 0.032991
0.000000, 0.000000, 0.398193, -0.890869, 0.031927
0.000000, 0.000000, 0.400635, -0.894043, 0.038312
0.000000, 0.000000, 0.403320, -0.895508, 0.032991
0.000000, 0.000000, 0.411621, -0.899902, 0.038312
0.000000, 0.000000, 0.409912, -0.902832, 0.038312
0.000000, 0.000000, 0.404297, -0.896484, 0.037248
0.000000, 0.000000, 0.405029, -0.895264, 0.035119
0.000000, 0.000000, 0.406250, -0.898682, 0.036184
0.000000, 0.000000, 0.399414, -0.897705, 0.038312
0.000000, 0.000000, 0.395752, -0.894531, 0.036184
0.000000, 0.000000, 0.398193, -0.893555, 0.038312
0.000000, 0.000000, 0.407959, -0.895264, 0.040441
0.000000, 0.000000, 0.405762, -0.897461, 0.038312
0.000000, 0.000000, 0.401123, -0.893066, 0.034055
0.000000, 0.000000, 0.406494, -0.900635, 0.039376
0.000000, 0.000000, 0.406738, -0.898438, 0.035119
0.000000, 0.000000, 0.404053, -0.892822, 0.037248
0.000000, 0.000000, 0.397949, -0.901367, 0.037248
0.000000, 0.000000, 0.410889, -0.900146, 0.039376
0.000000, 0.000000, 0.412842, -0.891846, 0.036184
0.000000, 0.000000, 0.395508, -0.886475, 0.035119
0.000000, 0.000000, 0.416992, -0.894531, 0.039376
0.000000, 0.000000, 0.405762, -0.901123, 0.036184
0.000000, 0.000000, 0.409912, -0.899658, 0.035119
0.000000, 0.000000, 0.403809, -0.899414, 0.036184
0.000000, 0.000000, 0.395020, -0.896240, 0.035119
0.000000, 0.000000, 0.405273, -0.895996, 0.038312
0.000000, 0.000000, 0.410889, -0.893555, 0.037248
0.000000, 0.000000, 0.402100, -0.899658, 0.034055
0.000000, 0.000000, 0.403320, -0.893311, 0.035119
0.000000, 0.000000, 0.409668, -0.897461, 0.036184
0.000000, 0.000000, 0.410156, -0.899902, 0.038312
0.000000, 0.000000, 0.407715, -0.897461, 0.036184
0.000000, 0.000000, 0.399414, -0.899902, 0.032991
0.000000, 0.000000, 0.403320, -0.895752, 0.036184
0.000000, 0.000000, 0.410645, -0.897461, 0.036184
0.000000, 0.000000, 0.411621, -0.894287, 0.035119
0.000000, 0.000000, 0.400635, -0.897461, 0.036184
0.000000, 0.000000, 0.411377, -0.900879, 0.034055
0.000000, 0.000000, 0.418945, -0.896484, 0.036184
0.000000, 0.000000, 0.411133, -0.895020, 0.034055
0.000000, 0.000000, 0.405518, -0.892334, 0.038312
0.000000, 0.000000, 0.406738, -0.895996, 0.036184
0.000000, 0.000000, 0.406738, -0.895264, 0.037248
0.000000, 0.000000, 0.408203, -0.894043, 0.038312
0.000000, 0.000000, 0.400879, -0.891846, 0.035119
0.000000, 0.000000, 0.401611, -0.899414, 0.035119
0.000000, 0.000000, 0.403076, -0.898926, 0.038312
0.000000, 0.000000, 0.405762, -0.893311, 0.032991
0.000000, 0.000000, 0.414551, -0.898438, 0.036184
0.000000, 0.000000, 0.401611, -0.899902, 0.036184
0.000000, 0.000000, 0.402344, -0.901611, 0.034055
0.000000, 0.000000, 0.403320, -0.892822, 0.036184
0.000000, 0.000000, 0.408447, -0.895996, 0.035119
0.000000, 0.000000, 0.407715, -0.898438, 0.034055
0.000000, 0.000000, 0.402344, -0.899658, 0.036184
0.000000, 0.000000, 0.413086, -0.899902, 0.035119
0.000000, 0.000000, 0.410645, -0.899414, 0.035119
0.000000, 0.000000, 0.406250, -0.903320, 0.036184
0.000000, 0.000000, 0.402344, -0.893066, 0.038312
0.000000, 0.000000, 0.406250, -0.897949, 0.034055
0.000000, 0.000000, 0.405273, -0.900391, 0.036184
0.000000, 0.000000, 0.399170, -0.896240, 0.035119
0.000000, 0.000000, 0.413818, -0.897217, 0.035119
0.000000, 0.000000, 0.410400, -0.890869, 0.037248
0.000000, 0.000000, 0.404053, -0.889160, 0.036184
0.000000, 0.000000, 0.407471, -0.894775, 0.039376
0.000000, 0.000000, 0.398682, -0.895996, 0.038312
0.000000, 0.000000, 0.407471, -0.897949, 0.034055
0.000000, 0.000000, 0.402344, -0.894531, 0.037248
0.000000, 0.000000, 0.412354, -0.891846, 0.038312
0.000000, 0.000000, 0.410889, -0.892090, 0.039376
0.000000, 0.000000, 0.406006, -0.895508, 0.035119
0.000000, 0.000000, 0.402832, -0.892578, 0.036184
0.000000, 0.000000, 0.407715, -0.893799, 0.038312
0.000000, 0.000000, 0.412842, -0.897461, 0.038312
0.000000, 0.000000, 0.414063, -0.890137, 0.036184
0.000000, 0.000000, 0.406250, -0.897705, 0.038312
0.000000, 0.000000, 0.412354, -0.901123, 0.037248
0.000000, 0.000000, 0.403809, -0.897217, 0.039376
0.000000, 0.000000, 0.396484, -0.895264, 0.035119
0.000000, 0.000000, 0.409912, -0.898438, 0.035119
0.000000, 0.000000, 0.409180, -0.899658, 0.035119
0.000000, 0.000000, 0.404785, -0.896729, 0.034055
0.000000, 0.000000, 0.400635, -0.894775, 0.038312
0.000000, 0.000000, 0.412354, -0.898926, 0.035119
0.000000, 0.000000, 0.403076, -0.894287, 0.036184
0.000000, 0.000000, 0.403809, -0.887695, 0.036184
0.000000, 0.000000, 0.413086, -0.901611, 0.035119
0.000000, 0.000000, 0.412842, -0.891602, 0.036184
0.000000, 0.000000, 0.399414, -0.897949, 0.036184
0.000000, 0.000000, 0.403809, -0.895020, 0.038312
0.000000, 0.000000, 0.401611, -0.892090, 0.035119
0.000000, 0.000000, 0.409912, -0.893555, 0.036184
0.000000, 0.000000, 0.405273, -0.897461, 0.037248
0.000000, 0.000000, 0.412842, -0.895264, 0.036184
0.000000, 0.000000, 0.412354, -0.893066, 0.036184
0.000000, 0.000000, 0.403076, -0.891602, 0.037248
0.000000, 0.000000, 0.410889, -0.897949, 0.040441
0.000000, 0.000000, 0.410156, -0.893066, 0.034055
0.000000, 0.000000, 0.406494, -0.897705, 0.038312
0.000000, 0.000000, 0.407227, -0.893066, 0.036184
0.000000, 0.006973, 0.407715, -0.897705, 0.036184
0.000000, 0.012551, 0.401123, -0.898438, 0.037248
0.000000, 0.016734, 0.408447, -0.900146, 0.036184
0.000000, 0.019523, 0.409668, -0.893066, 0.037248
0.000000, 0.027891, 0.412354, -0.895264, 0.037248
0.001534, 0.033469, 0.396484, -0.960449, 0.039376
0.001534, 0.036258, 0.394531, -0.955811, 0.103230
0.001534, 0.043230, 0.431152, -0.835693, 0.110679
0.001534, 0.046019, 0.400146, -0.838623, 0.053211
0.003068, 0.058570, 0.406250, -0.907715, 0.045762
0.003068, 0.071121, 0.410645, -0.934570, 0.062789
0.003068, 0.097617, 0.405029, -0.957764, 0.094716
0.004602, 0.128297, 0.409424, -0.942627, 0.133028
0.004602, 0.160371, 0.415527, -0.944336, 0.170276
0.007670, 0.198023, 0.404297, -0.958008, 0.210717
0.009204, 0.245437, 0.410889, -0.958008, 0.252221
0.012272, 0.298429, 0.422607, -0.958496, 0.295855
0.015340, 0.358394, 0.419434, -0.964844, 0.343745
0.018408, 0.426726, 0.420898, -0.992676, 0.404406
0.023010, 0.489479, 0.416992, -0.991211, 0.482094
0.027612, 0.563389, 0.425537, -0.993896, 0.552333
0.033748, 0.641483, 0.438232, -0.982422, 0.624700
0.041417, 0.730733, 0.447266, -0.992676, 0.703453
0.049087, 0.829744, 0.439453, -1.008301, 0.791783
0.056757, 0.928756, 0.437500, -1.012939, 0.879050
0.065961, 1.033345, 0.443115, -1.037109, 0.986537
0.076699, 1.133751, 0.467041, -1.036377, 1.104666
0.088971, 1.235552, 0.459717, -1.039795, 1.230244
0.102777, 1.344325, 0.464355, -1.001465, 1.351566
0.116583, 1.450309, 0.474121, -0.970459, 1.447346
0.131922, 1.550715, 0.476807, -0.958252, 1.532484
0.147262, 1.642754, 0.495117, -0.954102, 1.617622
0.164136, 1.732004, 0.504883, -0.958496, 1.709146
0.182544, 1.817070, 0.508057, -0.943359, 1.803862
0.200951, 1.897953, 0.518311, -0.937256, 1.897513
0.220893, 1.967679, 0.536377, -0.917969, 1.992229
0.240835, 2.027644, 0.545654, -0.873779, 2.069918
0.262311, 2.079241, 0.556396, -0.834473, 2.132707
0.283786, 2.116893, 0.579102, -0.784180, 2.167827
0.305262, 2.151757, 0.585449, -0.745605, 2.181662
0.326738, 2.186620, 0.603516, -0.718506, 2.183790
0.348214, 2.231245, 0.625488, -0.732910, 2.186983
0.371223, 2.280053, 0.639648, -0.769043, 2.219974
0.392699, 2.335834, 0.650146, -0.781738, 2.284891
0.415709, 2.401377, 0.653320, -0.776123, 2.360451
0.440252, 2.471104, 0.664063, -0.762695, 2.443461
0.466330, 2.539435, 0.679932, -0.730957, 2.531792
0.492408, 2.607767, 0.694824, -0.701416, 2.607352
0.518486, 2.670521, 0.692139, -0.680664, 2.678655
0.546097, 2.715146, 0.704102, -0.658447, 2.743572
0.573709, 2.744431, 0.727539, -0.593750, 2.803169
0.601320, 2.755587, 0.734131, -0.520996, 2.832967
0.630466, 2.762560, 0.741455, -0.463623, 2.827646
0.658078, 2.756982, 0.766113, -0.424072, 2.808490
0.685689, 2.738853, 0.783203, -0.396729, 2.779756
0.713301, 2.716541, 0.779785, -0.386230, 2.753150
0.739379, 2.691439, 0.804199, -0.362061, 2.735059
0.766990, 2.664943, 0.813721, -0.338623, 2.714838
0.793068, 2.646814, 0.823486, -0.298340, 2.688232
0.819146, 2.624502, 0.845947, -0.273438, 2.662691
0.845223, 2.600795, 0.847168, -0.256348, 2.633957
0.871301, 2.578482, 0.862061, -0.218750, 2.610544
0.897379, 2.551986, 0.872559, -0.190918, 2.573296
0.923456, 2.538041, 0.876221, -0.183350, 2.543498
0.948000, 2.522701, 0.885742, -0.163086, 2.517957
0.972544, 2.514334, 0.900391, -0.158691, 2.500929
0.997088, 2.512939, 0.896973, -0.156250, 2.503057
1.021631, 2.511545, 0.905762, -0.131592, 2.514764
1.047709, 2.518518, 0.901367, -0.122314, 2.530727
1.072253, 2.526885, 0.894287, -0.101807, 2.550947
1.098330, 2.522701, 0.898193, -0.063232, 2.561590
1.124408, 2.500389, 0.907471, -0.020508, 2.571168
1.148952, 2.455764, 0.901367, 0.032227, 2.563718
1.175029, 2.379065, 0.900635, 0.065674, 2.541370
1.199573, 2.278659, 0.929688, 0.207275, 2.464745
1.222583, 2.141995, 0.932861, 0.280273, 2.355130
1.244058, 1.981624, 0.923096, 0.356934, 2.195496
1.264000, 1.804519, 0.952393, 0.415527, 1.994358
1.280874, 1.617652, 0.952148, 0.479004, 1.770871
1.296214, 1.443336, 0.955811, 0.510742, 1.513328
1.308486, 1.274599, 0.950195, 0.453613, 1.283456
1.319223, 1.119806, 0.967529, 0.385498, 1.106794
1.328427, 0.985931, 0.942871, 0.322754, 0.983344
1.337631, 0.864607, 1.002686, 0.273926, 0.916298
1.346835, 0.747467, 0.964355, 0.303711, 0.847123
1.352971, 0.640088, 0.978027, 0.348145, 0.765178
1.359107, 0.531315, 0.978027, 0.404053, 0.652370
1.365243, 0.409991, 0.968994, 0.417236, 0.518278
1.368311, 0.280300, 0.992920, 0.430176, 0.375671
1.369845, 0.139453, 0.957275, 0.399658, 0.241579
1.371379, -0.005578, 0.978027, 0.397705, 0.121322
1.371379, -0.163160, 0.981201, 0.429932, -0.004257
1.368311, -0.333292, 0.970947, 0.475098, -0.150056
1.365243, -0.506214, 0.984131, 0.495850, -0.334167
1.359107, -0.687502, 0.971924, 0.495361, -0.529984
1.351437, -0.875764, 0.978027, 0.497803, -0.726866
1.342233, -1.068208, 0.958008, 0.486084, -0.924812
1.329961, -1.260653, 0.968506, 0.476807, -1.131271
1.316156, -1.457282, 0.965088, 0.467529, -1.332410
1.300816, -1.646938, 0.945313, 0.429688, -1.517585
1.283942, -1.826832, 0.950684, 0.406738, -1.697439
1.264000, -2.002542, 0.944336, 0.399902, -1.885807
1.242524, -2.171280, 0.921631, 0.368896, -2.049698
1.219515, -2.338623, 0.927246, 0.318115, -2.235937
1.194971, -2.503178, 0.903564, 0.273438, -2.389185
1.170427, -2.663548, 0.904053, 0.263916, -2.531792
1.142816, -2.818341, 0.885498, 0.244629, -2.678655
1.113670, -2.960583, 0.863525, 0.235596, -2.852123
1.082990, -3.065173, 0.855225, 0.196533, -3.018142
1.050777, -3.126532, 0.849609, 0.157715, -3.180969
1.017029, -3.148844, 0.809082, 0.029297, -3.324639
0.981748, -3.115376, 0.810791, -0.104492, -3.389557
0.948000, -3.042860, 0.857666, -0.506104, -3.397007
0.918854, -2.942454, 0.708008, -0.384521, -2.728673
0.891243, -2.819736, 0.939697, -0.267822, -2.794655
0.863631, -2.676099, 0.757080, -0.516846, -2.630765
0.839087, -2.531068, 0.896973, -0.450439, -2.499865
0.814544, -2.391616, 0.855713, -0.443115, -2.406213
0.790000, -2.245190, 0.863281, -0.448730, -2.294469
0.766990, -2.086214, 0.861816, -0.523193, -2.213588
0.747049, -1.900742, 0.846680, -0.631348, -2.077367
0.727107, -1.692957, 0.891602, -0.722656, -1.858137
0.710233, -1.453098, 0.832031, -0.788574, -1.598466
0.697961, -1.195110, 0.876465, -0.800537, -1.334538
0.685689, -0.920388, 0.859131, -0.828857, -1.054647
0.678020, -0.633116, 0.881348, -0.859863, -0.764114
0.673418, -0.323530, 0.858398, -0.874512, -0.461874
0.671884, -0.013945, 0.884033, -0.879150, -0.155377
0.671884, 0.295640, 0.892578, -0.906982, 0.163891
0.676486, 0.613592, 0.879150, -0.909668, 0.487415
0.684155, 0.931545, 0.878906, -0.896973, 0.809875
0.696427, 1.248103, 0.875977, -0.873291, 1.135528
0.710233, 1.556293, 0.864746, -0.848145, 1.454796
0.727107, 1.843566, 0.851807, -0.834717, 1.758100
0.747049, 2.098765, 0.855225, -0.820313, 2.069918
0.771592, 2.320495, 0.850342, -0.756104, 2.368965
0.797670, 2.503178, 0.827637, -0.630859, 2.617994
0.825282, 2.659365, 0.841797, -0.482178, 2.785077
0.852893, 2.773716, 0.822754, -0.363770, 2.870215
0.882039, 2.855993, 0.837402, -0.298340, 2.913848
0.911185, 2.903407, 0.838867, -0.258057, 2.933004
0.940330, 2.932692, 0.857178, -0.212891, 2.948968
0.971010, 2.948032, 0.864990, -0.232910, 2.965995
1.000155, 2.948032, 0.853271, -0.206787, 3.009629
1.030835, 2.932692, 0.845703, -0.116699, 3.040491
1.059981, 2.903407, 0.846680, 0.001465, 3.012821
1.089126, 2.862966, 0.907227, 0.039307, 2.934069
1.118272, 2.814157, 0.887939, 0.058594, 2.874472
1.145884, 2.761165, 0.903320, 0.103271, 2.808490
1.173495, 2.694228, 0.891357, 0.096191, 2.735059
1.199573, 2.620318, 0.881348, 0.129883, 2.694618
1.225651, 2.532463, 0.899658, 0.174072, 2.640343
1.251728, 2.432057, 0.905762, 0.218018, 2.570104
1.276272, 2.314916, 0.910400, 0.290283, 2.477516
1.299282, 2.185225, 0.910156, 0.370117, 2.348745
1.320757, 2.047167, 0.921631, 0.455811, 2.172083
1.340699, 1.897953, 0.930908, 0.459961, 1.972009
1.359107, 1.743160, 0.934326, 0.420898, 1.800669
1.374447, 1.596735, 0.946533, 0.420166, 1.663384
1.389787, 1.457282, 0.948975, 0.425781, 1.531420
1.403592, 1.337352, 0.955566, 0.450928, 1.394135
1.415864, 1.246708, 0.933105, 0.477783, 1.244079
1.426602, 1.178376, 0.913574, 0.437500, 1.114244
1.437340, 1.132357, 0.945801, 0.319824, 1.053583
1.446544, 1.091915, 0.933838, 0.258301, 1.062097
1.457282, 1.069603, 0.929688, 0.260498, 1.096152
1.469554, 1.054263, 0.921875, 0.303711, 1.120629
1.480291, 1.034740, 0.929932, 0.347656, 1.127014
1.491029, 1.013822, 0.929932, 0.379395, 1.099345
1.500233, 0.985931, 0.925781, 0.416992, 1.059968
1.510971, 0.945490, 0.924316, 0.449707, 1.006757
1.520175, 0.902260, 0.915527, 0.471191, 0.945032
1.527845, 0.874369, 0.902832, 0.448486, 0.880114
1.537049, 0.849268, 0.917236, 0.419922, 0.839674
1.544719, 0.829744, 0.919678, 0.396240, 0.826903
1.552389, 0.810221, 0.900879, 0.365967, 0.836481
1.560058, 0.793486, 0.906006, 0.375977, 0.855637
1.569262, 0.775358, 0.899658, 0.419678, 0.870536
1.576932, 0.757229, 0.898926, 0.477783, 0.847123
1.584602, 0.740494, 0.887207, 0.509766, 0.802426
1.592272, 0.712604, 0.888428, 0.506104, 0.748150
1.598408, 0.683319, 0.889160, 0.487305, 0.703453
1.604544, 0.654034, 0.882080, 0.480469, 0.671526
1.612214, 0.634510, 0.878418, 0.474609, 0.653434
1.618350, 0.619170, 0.881592, 0.472900, 0.644920
1.622952, 0.602436, 0.872070, 0.473389, 0.637471
1.629088, 0.594069, 0.872070, 0.478027, 0.632150
1.635224, 0.587096, 0.869629, 0.489502, 0.631085
1.641359, 0.574546, 0.875244, 0.493652, 0.615122
1.647495, 0.573151, 0.864502, 0.504395, 0.603416
1.652097, 0.575940, 0.861816, 0.501953, 0.594902
1.658233, 0.574546, 0.860107, 0.490234, 0.585324
1.664369, 0.575940, 0.865967, 0.489746, 0.591709
1.668971, 0.580124, 0.853027, 0.484619, 0.601287
1.675107, 0.594069, 0.843262, 0.489746, 0.616186
1.681243, 0.609409, 0.849854, 0.492188, 0.635342
1.687379, 0.617776, 0.833740, 0.505615, 0.645985
1.693515, 0.626143, 0.842285, 0.513916, 0.659820
1.699651, 0.634510, 0.842773, 0.518311, 0.665141
1.707321, 0.634510, 0.843018, 0.533203, 0.670462
