0.00, 101.398600, 0.423096, -0.900879, 
0.01, 97.902092, 0.402588, -0.907227, 
0.02, 132.867130, 0.391846, -0.892822, 
0.03, 136.363630, 0.421631, -0.896484, 
0.04, 111.888110, 0.407227, -0.891357, 
0.05, 101.398600, 0.402832, -0.884521, 
0.06, 104.895100, 0.399414, -0.894531, 
0.07, 136.363630, 0.406006, -0.912109, 
0.08, 136.363630, 0.410645, -0.897217, 
0.09, 104.895100, 0.408691, -0.893066, 
0.10, 94.405586, 0.414795, -0.904053, 
0.11, 118.881110, 0.400146, -0.894287, 
0.12, 132.867130, 0.396240, -0.890137, 
0.13, 111.888110, 0.389160, -0.886230, 
0.14, 132.867130, 0.411377, -0.893799, 
0.15, 115.384610, 0.398438, -0.903076, 
0.16, 122.377620, 0.401123, -0.891113, 
0.17, 129.370620, 0.403076, -0.895020, 
0.18, 122.377620, 0.411621, -0.897461, 
0.19, 108.391600, 0.403076, -0.896973, 
0.20, 125.874120, 0.409668, -0.898193, 
0.21, 129.370620, 0.402588, -0.893555, 
0.22, 136.363630, 0.408447, -0.892334, 
0.23, 104.895100, 0.411865, -0.895996, 
0.24, 118.881110, 0.402832, -0.904053, 
0.25, 118.881110, 0.398682, -0.892334, 
0.26, 122.377620, 0.398926, -0.897949, 
0.27, 122.377620, 0.405762, -0.895508, 
0.28, 122.377620, 0.414307, -0.896240, 
0.29, 111.888110, 0.406250, -0.896240, 
0.30, 115.384610, 0.393555, -0.896973, 
0.31, 122.377620, 0.412354, -0.890625, 
0.32, 115.384610, 0.402588, -0.896484, 
0.33, 111.888110, 0.408936, -0.897949, 
0.34, 125.874120, 0.397461, -0.894287, 
0.35, 122.377620, 0.400391, -0.895020, 
0.36, 115.384610, 0.406982, -0.890869, 
0.37, 115.384610, 0.399414, -0.894531, 
0.38, 111.888110, 0.410645, -0.896973, 
0.39, 125.874120, 0.407227, -0.898438, 
0.40, 129.370620, 0.407227, -0.892578, 
0.41, 122.377620, 0.405273, -0.899170, 
0.42, 122.377620, 0.416016, -0.897217, 
0.43, 118.881110, 0.401367, -0.897461, 
0.44, 132.867130, 0.405273, -0.897705, 
0.45, 122.377620, 0.409180, -0.898438, 
0.46, 115.384610, 0.403320, -0.890869, 
0.47, 118.881110, 0.414063, -0.900146, 
0.48, 111.888110, 0.406982, -0.903320, 
0.49, 115.384610, 0.404053, -0.898438, 
0.50, 115.384610, 0.408203, -0.898193, 
0.51, 111.888110, 0.392822, -0.893311, 
0.52, 118.881110, 0.408936, -0.895996, 
0.53, 118.881110, 0.399902, -0.901123, 
0.54, 118.881110, 0.395996, -0.895996, 
0.55, 132.867130, 0.403809, -0.897217, 
0.56, 118.881110, 0.408936, -0.890137, 
0.57, 129.370620, 0.404785, -0.899170, 
0.58, 122.377620, 0.403564, -0.896973, 
0.59, 129.370620, 0.405762, -0.890381, 
0.60, 125.874120, 0.405762, -0.898682, 
0.61, 129.370620, 0.411133, -0.900146, 
0.62, 111.888110, 0.396973, -0.893311, 
0.63, 115.384610, 0.415527, -0.905273, 
0.64, 125.874120, 0.406250, -0.899170, 
0.65, 118.881110, 0.402100, -0.889648, 
0.66, 118.881110, 0.405029, -0.898438, 
0.67, 115.384610, 0.405762, -0.895508, 
0.68, 111.888110, 0.415527, -0.894287, 
0.69, 122.377620, 0.411621, -0.896729, 
0.70, 122.377620, 0.406494, -0.893555, 
0.71, 115.384610, 0.401367, -0.889648, 
0.72, 125.874120, 0.409912, -0.904053, 
0.73, 115.384610, 0.409180, -0.896973, 
0.74, 122.377620, 0.410156, -0.891113, 
0.75, 115.384610, 0.412598, -0.898193, 
0.76, 115.384610, 0.396973, -0.896973, 
0.77, 118.881110, 0.419922, -0.900146, 
0.78, 122.377620, 0.412598, -0.892578, 
0.79, 108.391600, 0.412109, -0.898438, 
0.80, 129.370620, 0.420410, -0.896484, 
0.81, 125.874120, 0.404297, -0.894043, 
0.82, 125.874120, 0.412109, -0.899902, 
0.83, 125.874120, 0.411377, -0.896484, 
0.84, 115.384610, 0.404297, -0.898926, 
0.85, 111.888110, 0.410156, -0.899902, 
0.86, 115.384610, 0.406494, -0.898682, 
0.87, 125.874120, 0.406738, -0.897949, 
0.88, 118.881110, 0.406982, -0.897461, 
0.89, 122.377620, 0.411865, -0.889160, 
0.90, 125.874120, 0.405762, -0.897949, 
0.91, 122.377620, 0.413818, -0.900391, 
0.92, 125.874120, 0.408936, -0.898682, 
0.93, 115.384610, 0.404053, -0.895996, 
0.94, 118.881110, 0.406982, -0.895996, 
0.95, 118.881110, 0.402588, -0.900391, 
0.96, 125.874120, 0.415771, -0.899902, 
0.97, 118.881110, 0.406006, -0.899658, 
0.98, 122.377620, 0.402832, -0.901611, 
0.99, 101.398600, 0.409668, -0.895996, 
1.00, 122.377620, 0.402344, -0.891846, 
1.01, 118.881110, 0.400146, -0.898193, 
1.02, 122.377620, 0.407227, -0.892578, 
1.03, 104.895100, 0.411377, -0.895508, 
1.04, 118.881110, 0.405518, -0.895508, 
1.05, 118.881110, 0.409180, -0.899170, 
1.06, 129.370620, 0.400635, -0.894287, 
1.07, 132.867130, 0.403320, -0.899902, 
1.08, 118.881110, 0.403320, -0.891113, 
1.09, 118.881110, 0.410156, -0.891846, 
1.10, 118.881110, 0.409424, -0.898438, 
1.11, 125.874120, 0.408447, -0.893799, 
1.12, 118.881110, 0.403320, -0.898193, 
1.13, 122.377620, 0.407471, -0.894531, 
1.14, 111.888110, 0.403320, -0.899170, 
1.15, 108.391600, 0.398682, -0.897949, 
