4.61,1158
4.62,1162
4.63,1166
4.64,1170
4.65,1174
4.66,1178
4.67,1182
4.68,1186
4.69,1190
4.70,1194
4.71,1198
4.72,1202
4.73,1206
4.74,1210
4.75,1215
4.76,1219
4.77,1224
4.78,1228
4.79,1232
4.80,1236
4.81,1240
4.82,1244
4.83,1248
4.84,1251
4.85,1255
4.86,1258
4.87,1262
4.88,1265
4.89,1269
4.90,1272
4.91,1275
4.92,1278
4.93,1280
4.94,1283
4.95,1285
4.96,1287
4.97,1290
4.98,1292
4.99,1294
5.00,1296
5.01,1298
5.02,1300
5.03,1303
5.04,1305
5.05,1307
5.06,1309
5.07,1311
5.08,1313
5.09,1314
5.10,1316
5.11,1318
5.12,1319
5.13,1321
5.14,1322
5.15,1323
5.16,1323
5.17,1323
5.18,1322
5.19,1321
5.20,1319
5.21,1315
5.22,1311
5.23,1306
5.24,1300
5.25,1293
5.26,1285
5.27,1275
5.28,1265
5.29,1254
5.30,1243
5.31,1231
5.32,1218
5.33,1205
5.34,1192
5.35,1179
5.36,1166
5.37,1152
5.38,1138
5.39,1124
5.40,1109
5.41,1094
5.42,1079
5.43,1065
5.44,1050
5.45,1035
5.46,1021
5.47,1006
5.48,991
5.49,976
5.50,962
5.51,947
5.52,933
5.53,918
5.54,904
5.55,890
5.56,877
5.57,864
5.58,850
5.59,837
5.60,824
5.61,810
5.62,797
5.63,784
5.64,772
5.65,760
5.66,748
5.67,736
5.68,724
5.69,712
5.70,701
5.71,690
5.72,679
5.73,667
5.74,656
5.75,645
5.76,634
5.77,624
5.78,614
5.79,603
5.80,593
5.81,582
5.82,572
5.83,562
5.84,551
5.85,541
5.86,530
5.87,519
5.88,509
5.89,498
5.90,488
5.91,478
5.92,467
5.93,457
5.94,446
5.95,435
5.96,424
5.97,414
5.98,403
5.99,393
6.00,383
6.01,373
6.02,363
6.03,353
6.04,342
6.05,332
6.06,322
6.07,313
6.08,304
6.09,295
6.10,287
6.11,279
6.12,272
6.13,265
6.14,258
6.15,251
6.16,244
6.17,237
6.18,230
6.19,224
6.20,218
6.21,213
6.22,207
6.23,202
6.24,197
6.25,191
6.26,186
6.27,180
6.28,174
6.29,169
6.30,164
6.31,159
6.32,155
6.33,150
6.34,146
6.35,142
6.36,138
6.37,134
6.38,130
6.39,127
6.40,124
6.41,120
6.42,117
6.43,115
6.44,112
6.45,110
6.46,109
6.47,107
6.48,107
6.49,107
6.50,107
6.51,108
6.52,110
6.53,112
6.54,115
6.55,119
6.56,125
6.57,131
6.58,138
6.59,146
6.60,155
6.61,165
6.62,176
6.63,188
6.64,200
6.65,213
6.66,226
6.67,240
6.68,253
6.69,266
6.70,279
6.71,292
6.72,305
6.73,317
6.74,330
6.75,343
6.76,355
6.77,368
6.78,380
6.79,392
6.80,404
6.81,416
6.82,429
6.83,441
6.84,453
6.85,465
6.86,477
6.87,489
6.88,501
6.89,513
6.90,525
6.91,537
6.92,549
6.93,562
6.94,574
6.95,586
6.96,598
6.97,611
6.98,623
6.99,635
7.00,648
7.01,660
7.02,673
7.03,685
7.04,698
7.05,710
7.06,722
7.07,733
7.08,744
7.09,755
7.10,765
7.11,775
7.12,785
7.13,795
7.14,805
7.15,814
7.16,823
7.17,831
7.18,840
7.19,848
7.20,857
7.21,865
7.22,874
7.23,882
7.24,890
7.25,898
7.26,905
7.27,913
7.28,920
7.29,927
7.30,934
7.31,941
7.32,948
7.33,955
7.34,962
7.35,969
7.36,976
7.37,983
7.38,990
7.39,996
7.40,1003
7.41,1009
7.42,1016
7.43,1022
7.44,1029
7.45,1036
7.46,1043
7.47,1049
7.48,1055
7.49,1062
7.50,1068
7.51,1074
7.52,1080
7.53,1085
7.54,1091
7.55,1096
7.56,1100
7.57,1105
7.58,1110
7.59,1114
7.60,1119
7.61,1124
7.62,1129
7.63,1134
7.64,1139
7.65,1144
7.66,1150
7.67,1156
7.68,1162
7.69,1169
7.70,1175
7.71,1182
7.72,1189
7.73,1196
7.74,1203
7.75,1209
7.76,1215
7.77,1221
7.78,1225
7.79,1229
7.80,1232
7.81,1235
7.82,1237
7.83,1237
7.84,1237
7.85,1235
7.86,1232
7.87,1228
7.88,1222
7.89,1215
7.90,1205
7.91,1195
7.92,1183
7.93,1170
7.94,1156
7.95,1140
7.96,1124
7.97,1107
7.98,1090
7.99,1072
8.00,1054
8.01,1035
8.02,1016
8.03,997
8.04,978
8.05,959
8.06,939
8.07,920
8.08,901
8.09,883
8.10,865
8.11,848
8.12,830
8.13,814
8.14,798
8.15,782
8.16,766
8.17,751
8.18,737
8.19,722
8.20,708
8.21,694
8.22,681
8.23,667
8.24,654
8.25,641
8.26,629
8.27,617
8.28,604
8.29,593
8.30,581
8.31,569
8.32,557
8.33,545
8.34,534
8.35,523
8.36,511
8.37,500
8.38,489
8.39,478
8.40,467
8.41,456
8.42,445
8.43,434
8.44,423
8.45,412
8.46,402
8.47,391
8.48,380
8.49,370
8.50,360
8.51,350
