Time [sec],Potentiometer [V]
0.00,4.99512
0.01,3.12012
0.02,0.620117
0.03,4.99512
0.04,1.875
0.05,1.59668
0.06,4.99512
0.07,0.776367
0.08,2.80762
0.09,4.99512
0.10,0.136719
0.11,4.375
0.12,4.76074
0.13,0
0.14,4.99512
0.15,3.75
0.16,0.34668
0.17,4.99512
0.18,2.22168
0.19,1.24512
0.20,4.99512
0.21,1.09375
0.22,2.48047
0.23,4.99512
0.24,0.292969
0.25,3.75488
0.26,4.99512
0.27,0
0.28,4.98047
0.29,3.98438
0.30,0.170898
0.31,4.99512
0.32,2.65137
0.33,0.9375
0.34,4.99512
0.35,1.24512
0.36,2.02637
0.37,4.99512
0.38,0.483398
0.39,3.35938
0.40,4.99512
0.41,0.00488281
0.42,4.6875
0.43,4.37988
0.44,0.0341797
0.45,4.99512
0.46,3.11523
0.47,0.620117
0.48,4.99512
0.49,1.875
0.50,1.63574
0.51,4.99512
0.52,0.771484
0.53,2.88574
0.54,4.99512
0.55,0.136719
0.56,4.375
0.57,4.72168
0.58,0
0.59,4.99512
0.60,3.75
0.61,0.385742
0.62,4.99512
0.63,2.22168
0.64,1.24512
0.65,4.99512
0.66,1.09375
0.67,2.49023
0.68,4.99512
0.69,0.292969
0.70,3.76465
0.71,4.99512
0.72,0
0.73,4.98047
0.74,3.90137
0.75,0.234375
0.76,4.99512
0.77,2.65137
0.78,0.9375
0.79,4.99512
0.80,1.24512
0.81,2.06543
0.82,4.99512
0.83,0.46875
0.84,3.35938
0.85,4.99512
0.86,0.00488281
0.87,4.6875
0.88,4.375
0.89,0.0341797
0.90,4.99512
0.91,3.10547
0.92,0.620117
0.93,4.99512
0.94,1.875
0.95,1.63574
0.96,4.99512
0.97,0.761719
0.98,2.96875
0.99,4.99512
1.00,0.136719
1.01,4.375
1.02,4.72168
1.03,0
1.04,4.99512
1.05,3.75
1.06,0.385742
1.07,4.99512
1.08,2.20215
1.09,1.24512
1.10,4.99512
1.11,1.09375
1.12,2.5
1.13,4.99512
1.14,0.273438
1.15,3.78418
1.16,4.99512
1.17,0
1.18,4.99512
1.19,3.90137
1.20,0.234375
1.21,4.99512
1.22,2.64648
1.23,0.942383
1.24,4.99512
1.25,1.24512
1.26,2.1875
1.27,4.99512
1.28,0.46875
1.29,3.4375
1.30,4.99512
1.31,0
1.32,4.6875
1.33,4.375
1.34,0.0732422
1.35,4.99512
1.36,3.08594
1.37,0.620117
1.38,4.99512
1.39,1.875
1.40,1.71875
1.41,4.99512
1.42,0.620117
1.43,2.96875
1.44,4.99512
1.45,0.0732422
1.46,4.375
1.47,4.72168
1.48,0
1.49,4.99512
1.50,3.75
1.51,0.385742
1.52,4.99512
1.53,2.1875
1.54,1.24512
1.55,4.99512
1.56,1.09375
1.57,2.51465
1.58,4.99512
1.59,0.273438
1.60,3.78418
1.61,4.99512
1.62,0
1.63,4.99512
1.64,3.90137
1.65,0.234375
1.66,4.99512
1.67,2.61719
1.68,0.952148
1.69,4.99512
1.70,1.24512
1.71,2.1875
1.72,4.99512
1.73,0.46875
1.74,3.4375
1.75,4.99512
1.76,0
1.77,4.6875
1.78,4.375
1.79,0.0732422
1.80,4.99512
1.81,3.08594
1.82,0.620117
1.83,4.99512
1.84,1.875
1.85,1.71875
1.86,4.99512
1.87,0.620117
1.88,2.96875
1.89,4.99512
1.90,0.117188
1.91,4.375
1.92,4.6875
1.93,0
1.94,4.99512
1.95,3.75
1.96,0.46875
1.97,4.99512
1.98,2.1875
1.99,1.24512
