Time [sec],Potentiometer [V]
0.00,4.99512
0.01,0.0146484
0.02,4.99512
0.03,1.55273
0.04,2.80273
0.05,4.99512
0.06,0.0146484
0.07,4.99512
0.08,1.55762
0.09,2.79297
0.10,4.99512
0.11,0.0146484
0.12,4.99512
0.13,1.55762
0.14,2.80273
0.15,4.99512
0.16,0.0146484
0.17,4.99512
0.18,1.55762
0.19,2.77344
0.20,4.99512
0.21,0.0146484
0.22,4.99512
0.23,1.55762
0.24,2.77344
0.25,4.99512
0.26,0.0146484
0.27,4.99512
0.28,1.55762
0.29,2.77344
0.30,4.99512
0.31,0.0146484
0.32,4.99512
0.33,1.55762
0.34,2.73438
0.35,4.99512
0.36,0.0146484
0.37,4.99512
0.38,1.55762
0.39,2.73438
0.40,4.99512
0.41,0.0146484
0.42,4.99512
0.43,1.55762
0.44,2.65137
0.45,4.99512
0.46,0.0146484
0.47,4.99512
0.48,1.55762
0.49,2.65137
0.50,4.99512
0.51,0.0146484
0.52,4.99512
0.53,1.55762
0.54,2.65137
0.55,4.99512
0.56,0.0146484
0.57,4.99512
0.58,1.59668
0.59,2.65137
0.60,4.99512
0.61,0.00488281
0.62,4.99512
0.63,1.59668
0.64,2.63672
0.65,4.99512
0.66,0.00488281
0.67,4.99512
0.68,1.59668
0.69,2.57324
0.70,4.99512
0.71,0.00488281
0.72,4.99512
0.73,1.63574
0.74,2.57324
0.75,4.99512
0.76,0.00488281
0.77,4.99512
0.78,1.63574
0.79,2.57324
0.80,4.99512
0.81,0
0.82,4.99512
0.83,1.63574
0.84,2.57324
0.85,4.99512
0.86,0
0.87,4.99512
0.88,1.63574
0.89,2.57324
0.90,4.99512
0.91,0
0.92,4.99512
0.93,1.71875
0.94,2.57324
0.95,4.99512
0.96,0
0.97,4.99512
0.98,1.71875
0.99,2.53418
1.00,4.99512
1.01,0
1.02,4.99512
1.03,1.71875
1.04,2.53418
1.05,4.99512
1.06,0
1.07,4.99512
1.08,1.71875
1.09,2.53418
1.10,4.99512
1.11,0
1.12,4.99512
1.13,1.71875
1.14,2.53418
1.15,4.99512
1.16,0
1.17,4.99512
1.18,1.71875
1.19,2.51465
1.20,4.99512
1.21,0
1.22,4.99512
1.23,1.72363
1.24,2.51465
1.25,4.99512
1.26,0
1.27,4.99512
1.28,1.7334
1.29,2.50488
1.30,4.99512
1.31,0
1.32,4.99512
1.33,1.79688
1.34,2.50488
1.35,4.99512
1.36,0
1.37,4.99512
1.38,1.875
1.39,2.5
1.40,4.99512
1.41,0
1.42,4.99512
1.43,1.875
1.44,2.49023
1.45,4.99512
1.46,0
1.47,4.99512
1.48,1.875
1.49,2.49512
1.50,4.99512
1.51,0
1.52,4.99512
1.53,1.875
1.54,2.48047
1.55,4.99512
1.56,0
1.57,4.99512
1.58,1.875
1.59,2.48047
1.60,4.99512
1.61,0
1.62,4.99512
1.63,1.875
1.64,2.48047
1.65,4.99512
1.66,0
1.67,4.99512
1.68,1.875
1.69,2.48047
1.70,4.99512
1.71,0
1.72,4.99512
1.73,1.875
1.74,2.46094
1.75,4.99512
1.76,0
1.77,4.99512
1.78,1.875
1.79,2.46094
1.80,4.99512
1.81,0
1.82,4.99512
1.83,1.875
1.84,2.42188
1.85,4.99512
1.86,0
1.87,4.99512
1.88,1.875
1.89,2.42188
1.90,4.99512
1.91,0
1.92,4.99512
1.93,1.875
1.94,2.42188
1.95,4.99512
1.96,0
1.97,4.99512
1.98,1.875
1.99,2.42188
