[true theta], [true dTheta], [ar], [at], [imu dtheta]
-0.001534, -0.026496, 1.027100, -0.029297, -0.012771
-0.001534, -0.020918, 1.166748, -0.040039, -0.015963
-0.003068, -0.027891, 1.039063, 0.012939, 0.011706
-0.003068, -0.032074, 0.971924, -0.007080, 0.025541
-0.003068, -0.033469, 0.981201, 0.008057, 0.018092
-0.003068, -0.032074, 0.978271, -0.019043, -0.001064
-0.003068, -0.027891, 0.978760, 0.005859, 0.003193
-0.004602, -0.020918, 0.966064, 0.000732, 0.018092
-0.004602, -0.019523, 1.032227, -0.000244, 0.020220
-0.004602, -0.016734, 0.978271, -0.006592, 0.025541
-0.004602, -0.012551, 1.011963, -0.003662, 0.024477
-0.004602, -0.006973, 0.980225, -0.010010, 0.028734
-0.004602, -0.000000, 0.997314, 0.000732, 0.035119
-0.004602, -0.000000, 0.984375, -0.004395, 0.035119
-0.004602, -0.000000, 1.016846, 0.001953, 0.034055
-0.004602, -0.000000, 1.020508, -0.007813, 0.029798
-0.004602, -0.000000, 0.996582, 0.000732, 0.030863
-0.004602, -0.000000, 0.986084, 0.003906, 0.032991
-0.004602, -0.000000, 0.993652, -0.004395, 0.035119
-0.004602, -0.000000, 1.003174, -0.008545, 0.038312
-0.004602, -0.000000, 0.996094, -0.007568, 0.039376
-0.004602, -0.000000, 1.000732, -0.007568, 0.043633
-0.004602, -0.000000, 1.001221, -0.001221, 0.047890
-0.004602, -0.000000, 0.994141, -0.002441, 0.047890
-0.004602, -0.000000, 0.998047, -0.000488, 0.053211
-0.004602, -0.000000, 0.998047, 0.005859, 0.053211
-0.004602, 0.006973, 0.995361, -0.001221, 0.053211
-0.004602, 0.012551, 0.994141, 0.002197, 0.055340
-0.004602, 0.016734, 0.993896, 0.003174, 0.059597
-0.004602, 0.019523, 0.998535, 0.001953, 0.057468
-0.004602, 0.020918, 0.990723, 0.004150, 0.054275
-0.003068, 0.020918, 0.999023, 0.004150, 0.057468
-0.003068, 0.019523, 1.002441, -0.000000, 0.055340
-0.003068, 0.016734, 1.006104, 0.009277, 0.050019
-0.003068, 0.012551, 0.998779, 0.008057, 0.045762
-0.003068, 0.006973, 1.000488, 0.005371, 0.039376
-0.003068, -0.000000, 0.997314, 0.009033, 0.038312
-0.003068, -0.000000, 0.999756, 0.011475, 0.032991
-0.003068, -0.000000, 1.003662, 0.009521, 0.029798
-0.003068, -0.000000, 1.003174, -0.003174, 0.029798
-0.003068, -0.000000, 0.999756, 0.010986, 0.027670
-0.003068, -0.006973, 0.997314, 0.015625, 0.023413
-0.003068, -0.012551, 0.993408, 0.010742, 0.019156
-0.003068, -0.016734, 0.997803, 0.014893, 0.006385
-0.003068, -0.026496, 0.999023, 0.012939, -0.000000
-0.003068, -0.033469, 1.001709, 0.013672, -0.009578
-0.004602, -0.044625, 1.009033, 0.011475, -0.017028
-0.004602, -0.051598, 1.008545, 0.013672, -0.024477
-0.004602, -0.061359, 1.006348, 0.011719, -0.036184
-0.006136, -0.072515, 0.991943, 0.013428, -0.044697
-0.006136, -0.076699, 1.002441, -0.000488, -0.050019
-0.007670, -0.080883, 0.993164, 0.002197, -0.053211
-0.007670, -0.092039, 0.998535, -0.000244, -0.053211
-0.009204, -0.094828, 1.010742, -0.002197, -0.055340
-0.010738, -0.096222, 0.998779, 0.002197, -0.058532
-0.010738, -0.103195, 1.001221, 0.002441, -0.063854
-0.012272, -0.100406, 1.005371, 0.000732, -0.065982
-0.013806, -0.103195, 0.991455, -0.001953, -0.064918
-0.013806, -0.103195, 0.997559, -0.010986, -0.070239
-0.015340, -0.107379, 0.986572, -0.005127, -0.078753
-0.016874, -0.108773, 1.006104, -0.014648, -0.080881
-0.016874, -0.107379, 1.001465, -0.005371, -0.078753
-0.018408, -0.110168, 1.000000, -0.005371, -0.083010
-0.019942, -0.117140, 1.002197, -0.009277, -0.086202
-0.021476, -0.119929, 0.999756, -0.003662, -0.089395
-0.021476, -0.125508, 0.997070, -0.015869, -0.097909
-0.023010, -0.133875, 0.997314, -0.018799, -0.101101
-0.024544, -0.136664, 0.996338, -0.017090, -0.102166
-0.026078, -0.140847, 0.988037, -0.011475, -0.106423
-0.027612, -0.146425, 1.003174, -0.015137, -0.116001
-0.029146, -0.153398, 0.998779, -0.029785, -0.119193
-0.030680, -0.153398, 1.006348, -0.028320, -0.117065
-0.032214, -0.153398, 1.000244, -0.016846, -0.114936
-0.033748, -0.153398, 0.997559, -0.029541, -0.121322
-0.035282, -0.160371, 0.992920, -0.018555, -0.122386
-0.036816, -0.165949, 0.997559, -0.023682, -0.130900
-0.038350, -0.170132, 0.996582, -0.026367, -0.135157
-0.039884, -0.179894, 1.004883, -0.030518, -0.142606
-0.041417, -0.186867, 1.000488, -0.024170, -0.144735
-0.044485, -0.191050, 1.003418, -0.032471, -0.155377
-0.046019, -0.199418, 0.999756, -0.032227, -0.161762
-0.047553, -0.203601, 0.991211, -0.043701, -0.167083
-0.050621, -0.203601, 1.004150, -0.053711, -0.167083
-0.052155, -0.206390, 1.002930, -0.040283, -0.170276
-0.053689, -0.203601, 0.990479, -0.045410, -0.173469
-0.056757, -0.210574, 0.995117, -0.045654, -0.177726
-0.058291, -0.211968, 1.005127, -0.052734, -0.181983
-0.059825, -0.214757, 0.996582, -0.052979, -0.188368
-0.062893, -0.218941, 0.990479, -0.059326, -0.185175
-0.064427, -0.224519, 0.991943, -0.062500, -0.188368
-0.067495, -0.223124, 0.986328, -0.062500, -0.188368
-0.069029, -0.230097, 1.000244, -0.063721, -0.188368
-0.072097, -0.230097, 0.998779, -0.072754, -0.188368
-0.073631, -0.223124, 0.989258, -0.065674, -0.185175
-0.076699, -0.224519, 0.986816, -0.071777, -0.186239
-0.078233, -0.218941, 0.983154, -0.075195, -0.188368
-0.081301, -0.221730, 0.988037, -0.072998, -0.191561
-0.082835, -0.224519, 0.996826, -0.081299, -0.189432
-0.084369, -0.227308, 0.984619, -0.079590, -0.191561
-0.087437, -0.230097, 0.991455, -0.078369, -0.192625
-0.088971, -0.232886, 1.013184, -0.084961, -0.202203
-0.092039, -0.235675, 0.986328, -0.089844, -0.200074
-0.095107, -0.238464, 1.000000, -0.091797, -0.200074
-0.096641, -0.241253, 0.996338, -0.096191, -0.203267
-0.099709, -0.235675, 0.998047, -0.098145, -0.202203
-0.101243, -0.237070, 1.002686, -0.095703, -0.201139
-0.104311, -0.230097, 0.993408, -0.106445, -0.197946
-0.105845, -0.230097, 0.984375, -0.105469, -0.193689
-0.108913, -0.230097, 0.993652, -0.104736, -0.193689
-0.110447, -0.230097, 0.996094, -0.106934, -0.191561
-0.113515, -0.230097, 0.995605, -0.112305, -0.187304
-0.115049, -0.223124, 0.993652, -0.120361, -0.183047
-0.118117, -0.224519, 0.988525, -0.126221, -0.176661
-0.119651, -0.218941, 0.990234, -0.118652, -0.174533
-0.122718, -0.214757, 0.987549, -0.126709, -0.171340
-0.124252, -0.204996, 0.988281, -0.127686, -0.163891
-0.125786, -0.204996, 0.995850, -0.136475, -0.153248
-0.128854, -0.199418, 0.994141, -0.136475, -0.145799
-0.130388, -0.196628, 0.988037, -0.138428, -0.139413
-0.131922, -0.189656, 0.985352, -0.136963, -0.137285
-0.133456, -0.186867, 0.985596, -0.142578, -0.126643
-0.136524, -0.174316, 0.994629, -0.145264, -0.118129
-0.138058, -0.160371, 0.983643, -0.148682, -0.112808
-0.139592, -0.153398, 0.978027, -0.152832, -0.104294
-0.141126, -0.139453, 0.995361, -0.150391, -0.095780
-0.142660, -0.126902, 0.986816, -0.153809, -0.087266
-0.142660, -0.108773, 0.986572, -0.150635, -0.073432
-0.144194, -0.101801, 0.983643, -0.150146, -0.061725
-0.145728, -0.092039, 0.979980, -0.154053, -0.046826
-0.145728, -0.080883, 0.994141, -0.157227, -0.035119
-0.147262, -0.069726, 0.992920, -0.157227, -0.023413
-0.147262, -0.066937, 0.984619, -0.162354, -0.007450
-0.148796, -0.057176, 0.991211, -0.157959, 0.001064
-0.148796, -0.048808, 0.984131, -0.152588, 0.012771
-0.148796, -0.043230, 0.999023, -0.147461, 0.014899
-0.148796, -0.033469, 0.991455, -0.148193, 0.023413
-0.150330, -0.027891, 0.997314, -0.158447, 0.027670
-0.150330, -0.012551, 0.985352, -0.153809, 0.036184
-0.150330, -0.004184, 0.997803, -0.156006, 0.041505
-0.150330, 0.004184, 0.989014, -0.158203, 0.052147
-0.150330, 0.012551, 0.988525, -0.155029, 0.061725
-0.150330, 0.027891, 0.979492, -0.158691, 0.069175
-0.148796, 0.033469, 0.982422, -0.162354, 0.081945
-0.148796, 0.043230, 0.987549, -0.152100, 0.092588
-0.148796, 0.055781, 0.988037, -0.154785, 0.100037
-0.148796, 0.062754, 0.978271, -0.151123, 0.112808
-0.147262, 0.071121, 0.986572, -0.154053, 0.121322
-0.147262, 0.079488, 0.980225, -0.154297, 0.130900
-0.145728, 0.094828, 0.993408, -0.146973, 0.148992
-0.144194, 0.108773, 0.999023, -0.143066, 0.153248
-0.144194, 0.112957, 0.984375, -0.147461, 0.160698
-0.142660, 0.114351, 0.993408, -0.135010, 0.162826
-0.141126, 0.119929, 0.995361, -0.136719, 0.162826
-0.139592, 0.121324, 0.996094, -0.126221, 0.159634
-0.138058, 0.125508, 0.984375, -0.129883, 0.160698
-0.138058, 0.125508, 0.986816, -0.134277, 0.160698
-0.136524, 0.121324, 0.994873, -0.127686, 0.158570
-0.134990, 0.119929, 0.995361, -0.128418, 0.160698
-0.133456, 0.121324, 0.987061, -0.116455, 0.158570
-0.131922, 0.118535, 1.002197, -0.121338, 0.153248
-0.131922, 0.119929, 0.987793, -0.124512, 0.147927
-0.130388, 0.117140, 0.998779, -0.120361, 0.150056
-0.128854, 0.110168, 0.985107, -0.120605, 0.150056
-0.127320, 0.107379, 0.980957, -0.124756, 0.146863
-0.127320, 0.108773, 0.991699, -0.130859, 0.146863
-0.125786, 0.107379, 0.986328, -0.101807, 0.142606
-0.124252, 0.103195, 0.998535, -0.106445, 0.133028
-0.124252, 0.096222, 0.979004, -0.112793, 0.126643
-0.122718, 0.094828, 0.989990, -0.111328, 0.123450
-0.121184, 0.099011, 0.990967, -0.101807, 0.119193
-0.121184, 0.093433, 0.996582, -0.107422, 0.114936
-0.119651, 0.093433, 0.990234, -0.120850, 0.119193
-0.119651, 0.092039, 0.981689, -0.129639, 0.135157
-0.118117, 0.089250, 0.976807, -0.100098, 0.141542
-0.116583, 0.085066, 1.003418, -0.065674, 0.127707
-0.116583, 0.080883, 0.996338, -0.065918, 0.105358
-0.115049, 0.069726, 0.999268, -0.092285, 0.086202
-0.115049, 0.066937, 0.999268, -0.107666, 0.078753
-0.113515, 0.057176, 0.977051, -0.102051, 0.084074
-0.113515, 0.048808, 1.003174, -0.110840, 0.080881
-0.113515, 0.050203, 0.995850, -0.115967, 0.080881
-0.113515, 0.046019, 0.997559, -0.110107, 0.091523
-0.111981, 0.051598, 0.988525, -0.115234, 0.088331
-0.111981, 0.058570, 0.994629, -0.132324, 0.101101
-0.111981, 0.066937, 1.004639, -0.122559, 0.116001
-0.110447, 0.076699, 0.996338, -0.120605, 0.124514
-0.110447, 0.086461, 0.985107, -0.116211, 0.135157
-0.108913, 0.094828, 0.991211, -0.111328, 0.141542
-0.107379, 0.108773, 0.999023, -0.103760, 0.146863
-0.107379, 0.119929, 1.002441, -0.118652, 0.154313
-0.105845, 0.126902, 0.997803, -0.109375, 0.177726
-0.104311, 0.143636, 0.995361, -0.113281, 0.178790
-0.102777, 0.153398, 0.994629, -0.131592, 0.205395
-0.101243, 0.170132, 0.998047, -0.132080, 0.235194
-0.099709, 0.185472, 0.998779, -0.124756, 0.264992
-0.098175, 0.191050, 0.990967, -0.078857, 0.275634
-0.095107, 0.193839, 0.986084, -0.056885, 0.260735
-0.093573, 0.200812, 1.007080, -0.052002, 0.236258
-0.090505, 0.203601, 1.009277, -0.062744, 0.219230
-0.088971, 0.202207, 0.995117, -0.065918, 0.202203
-0.087437, 0.196628, 1.011475, -0.104004, 0.197946
-0.085903, 0.186867, 0.982422, -0.098145, 0.213909
-0.082835, 0.188261, 1.012207, -0.077637, 0.217102
-0.081301, 0.185472, 0.983154, -0.093262, 0.220295
