[true theta], [true dTheta], [ar], [at], [imu dtheta]
-0.007670, -0.076699, 0.937988, -0.015381, -0.042569
-0.007670, -0.059965, 1.074707, -0.025635, -0.039376
-0.009204, -0.044625, 1.080566, -0.017090, -0.017028
-0.009204, -0.025102, 1.026123, -0.002441, 0.018092
-0.009204, -0.011156, 1.001709, -0.019775, 0.041505
-0.009204, 0.004184, 1.013672, -0.034180, 0.052147
-0.009204, 0.019523, 0.992920, -0.020508, 0.054275
-0.009204, 0.033469, 0.973389, -0.020264, 0.064918
-0.007670, 0.044625, 0.997559, -0.008057, 0.079817
-0.007670, 0.051598, 1.014404, -0.013184, 0.095780
-0.007670, 0.061359, 1.021484, -0.004150, 0.100037
-0.006136, 0.065543, 0.988037, 0.001953, 0.107487
-0.006136, 0.071121, 0.994141, -0.002686, 0.110679
-0.004602, 0.076699, 0.987305, 0.001221, 0.108551
-0.004602, 0.082277, 1.013916, 0.002686, 0.114936
-0.003068, 0.087855, 0.999512, 0.004150, 0.118129
-0.003068, 0.092039, 0.997314, 0.002441, 0.124514
-0.001534, 0.094828, 0.995605, -0.003418, 0.124514
0.000000, 0.096222, 0.998291, -0.004150, 0.133028
0.000000, 0.103195, 1.010254, 0.006104, 0.135157
0.001534, 0.100406, 0.993652, 0.008057, 0.141542
0.003068, 0.103195, 0.993652, 0.010742, 0.138349
0.003068, 0.096222, 1.002441, 0.011719, 0.138349
0.004602, 0.087855, 1.000732, 0.018066, 0.143670
0.006136, 0.086461, 1.007568, 0.034180, 0.130900
0.006136, 0.076699, 1.003662, 0.040283, 0.123450
0.007670, 0.066937, 1.003174, 0.036621, 0.110679
0.007670, 0.058570, 1.000244, 0.025391, 0.103230
0.007670, 0.044625, 1.001953, 0.031738, 0.088331
0.009204, 0.033469, 0.995361, 0.031738, 0.077688
0.009204, 0.026496, 1.002686, 0.041504, 0.065982
0.009204, 0.009762, 0.992920, 0.035400, 0.053211
0.009204, 0.000000, 1.000000, 0.042725, 0.038312
0.009204, -0.009762, 1.008789, 0.038818, 0.021285
0.009204, -0.026496, 1.002441, 0.036133, 0.006385
0.009204, -0.033469, 0.999023, 0.035156, -0.003193
0.007670, -0.037652, 0.994629, 0.024170, -0.012771
0.007670, -0.046019, 1.003662, 0.018066, -0.015963
0.007670, -0.050203, 1.005371, 0.020752, -0.019156
0.006136, -0.057176, 1.010986, 0.023682, -0.019156
0.006136, -0.058570, 0.999268, 0.026611, -0.025541
0.006136, -0.061359, 0.995605, 0.021729, -0.024477
0.004602, -0.065543, 1.000488, 0.018066, -0.034055
0.004602, -0.071121, 1.001221, 0.011719, -0.037248
0.003068, -0.076699, 0.997314, 0.014404, -0.036184
0.003068, -0.082277, 0.997070, 0.016357, -0.039376
0.001534, -0.087855, 0.994629, 0.015869, -0.042569
0.001534, -0.092039, 1.000977, 0.020752, -0.047890
0.000000, -0.094828, 0.993896, 0.016846, -0.053211
-0.001534, -0.096222, 1.009521, 0.015381, -0.053211
-0.001534, -0.103195, 0.997803, 0.015137, -0.060661
-0.003068, -0.100406, 0.991699, 0.016846, -0.069175
-0.004602, -0.103195, 1.010986, 0.004883, -0.072367
-0.004602, -0.103195, 0.998047, 0.000977, -0.072367
-0.006136, -0.100406, 1.013184, -0.000732, -0.069175
-0.007670, -0.103195, 0.997314, 0.000488, -0.070239
-0.007670, -0.103195, 1.007080, 0.003418, -0.064918
-0.009204, -0.100406, 0.997803, -0.004639, -0.067046
-0.010738, -0.103195, 1.010986, -0.007568, -0.062789
