aX, aY, aZ, rX, rY, rZ
500, 14328, 11804, 6257, 284, -105,
44, 17656, 11492, 2981, 28, -116,
684, 18824, 12044, -1499, 41, -38,
568, 17376, 11952, -5515, -13, -48,
116, 15724, 11708, -8704, 3, 3,
200, 15236, 11856, -11516, -212, 40,
648, 16304, 12212, -14909, -305, 43,
900, 15308, 11800, -18518, -169, 138,
344, 11908, 11736, -20791, -114, 154,
940, 6400, 12008, -20770, -78, 159,
408, 744, 13084, -17822, -34, 133,
672, -1332, 14236, -13293, 116, 90,
596, -1620, 14764, -8532, 59, 2,
444, -156, 14904, -4532, 86, -11,
960, 604, 15396, -1185, 171, -32,
416, 1924, 15396, 1589, 64, -99,
468, 2736, 14604, 3641, 136, -75,
816, 4056, 14908, 5315, 66, -117,
536, 7300, 14612, 5555, 93, -90,
644, 11016, 14860, 3701, 118, -83,
96, 12328, 14616, 779, -47, -82,
896, 11180, 14564, -1954, -23, -60,
436, 10020, 14604, -4036, -90, -50,
664, 7920, 14620, -5203, -87, -20,
904, 4420, 14864, -4688, -43, -17,
500, 2196, 14764, -2588, -65, -74,
1156, 948, 15296, 296, 133, -57,
712, 1408, 15072, 3274, 228, -98,
608, 2180, 14612, 5874, 213, -136,
912, 2812, 14656, 8183, 246, -158,
544, 3896, 14468, 10121, 281, -158,
424, 5136, 13708, 11589, 194, -184,
764, 5840, 13476, 12843, 231, -181,
612, 7588, 13216, 13599, 296, -198,
592, 10152, 12744, 13157, 247, -179,
636, 12048, 12492, 11726, 167, -173,
708, 14016, 12636, 9429, 253, -144,
140, 14668, 12532, 6691, 67, -106,
400, 13656, 12540, 4335, -50, -101,
580, 13296, 12588, 2498, -23, -107,
652, 14256, 12368, 388, 27, -63,
328, 15876, 12532, -2561, -50, -31,
396, 17052, 12316, -6329, -209, -28,
952, 15952, 12332, -10000, -221, 18,
812, 14020, 12324, -12784, -124, 53,
580, 12992, 12308, -15094, -36, 97,
1004, 12512, 12340, -17273, 62, 122,
532, 13996, 12608, -20260, 91, 148,
328, 12204, 12120, -23393, -99, 118,
268, 7700, 11996, -24852, -183, 126,
580, 4052, 12764, -24423, -254, 167,
816, 2640, 13276, -23334, -173, 141,
656, 2368, 13628, -22350, -27, 145,
536, 1592, 14092, -21529, -159, 124,
848, 592, 14488, -20636, -102, 119,
660, 412, 14604, -19904, -86, 114,
772, -428, 14596, -19343, -145, 115,
556, -2140, 14876, -18315, -135, 108,
544, -4672, 15240, -16421, -144, 75,
636, -6772, 15304, -13468, -207, 20,
924, -8344, 15836, -9966, -167, 18,
1036, -9028, 16372, -5968, -16, -9,
836, -8804, 16320, -2175, 111, -46,
668, -8440, 16208, 1399, 157, -67,
852, -8480, 16168, 5056, 155, -106,
872, -8172, 16128, 8659, 257, -134,
652, -6836, 15476, 11958, 232, -167,
672, -4724, 15372, 14434, 173, -187,
784, -2704, 15232, 15864, 223, -221,
680, -1548, 15040, 17019, 243, -234,
720, -568, 14764, 17991, 210, -233,
704, 508, 14528, 18732, 147, -270,
920, 1448, 14716, 19290, 229, -239,
500, 3184, 14388, 19414, 285, -282,
416, 5256, 14204, 18823, 289, -232,
360, 5712, 14064, 18012, 138, -247,
768, 5928, 14068, 17523, 175, -256,
612, 6204, 13916, 17243, 197, -239,
696, 6264, 13552, 17237, 207, -226,
1020, 6864, 13268, 17330, 376, -208,
444, 7712, 13168, 17363, 440, -194,
560, 8420, 12500, 17354, 310, -223,
628, 9944, 12228, 16835, 274, -209,
724, 12060, 11960, 15505, 300, -206,
652, 13756, 11768, 13600, 291, -167,
188, 14392, 12064, 11278, 222, -129,
524, 13752, 11912, 9234, 187, -158,
568, 12632, 11664, 7954, 245, -132,
484, 12188, 11348, 7331, 163, -139,
624, 14316, 11084, 6042, 58, -73,
312, 17744, 11252, 3095, -18, -76,
208, 19184, 11276, -1174, -159, -76,
372, 19560, 11376, -5811, -164, -43,
876, 18260, 11228, -10151, -27, 21,
396, 15424, 10960, -13194, -78, 6,
792, 13592, 11172, -15191, -107, 60,
76, 12964, 11604, -16956, -46, 59,
304, 11800, 11836, -18378, -218, 59,
528, 11480, 11888, -19801, -74, 118,
848, 10448, 12232, -21044, -105, 124,
472, 9092, 12048, -21995, -105, 134,
712, 7380, 12532, -22548, -55, 144,
428, 6144, 12948, -22648, -171, 132,
612, 5644, 13320, -22836, -137, 144,
492, 4916, 13508, -23177, -150, 148,
580, 3992, 13704, -23525, -77, 157,
444, 2668, 13676, -23665, -158, 148,
640, 1612, 13968, -23583, -157, 156,
712, -1904, 14248, -22166, -261, 108,
932, -3128, 14412, -20451, -150, 135,
952, -3972, 14808, -18569, -74, 147,
952, -2696, 15352, -17452, 21, 129,
452, -1512, 14908, -17448, -27, 111,
632, -1296, 14436, -18176, -130, 78,
604, -2368, 14440, -18848, -251, 75,
856, -4076, 14372, -19028, -185, 124,
996, -4828, 14264, -19040, 46, 148,
344, -6444, 13760, -18784, -84, 108,
660, -7808, 13844, -17896, -123, 98,
900, -7748, 13736, -17269, -14, 99,
672, -7988, 13164, -16898, -45, 100,
628, -8532, 12888, -16537, -122, 85,
656, -10260, 12824, -15862, -121, 67,
664, -11844, 12888, -14388, -161, 68,
1128, -11040, 12660, -13208, 17, 76,
708, -11452, 12572, -12435, 6, 62,
724, -11744, 12104, -11468, -1, 43,
704, -11340, 11964, -10876, -66, 42,
616, -11304, 11768, -10647, 2, 31,
408, -12896, 11272, -9960, -69, 25,
884, -13016, 11468, -8884, -17, 16,
840, -12384, 10988, -8361, 67, 12,
620, -12664, 10748, -7882, 46, 22,
644, -12308, 10616, -7549, -12, -7,
1264, -12892, 10720, -7403, 116, 4,
464, -14516, 10096, -6285, 7, 9,
632, -15968, 10392, -4604, 28, -27,
1008, -17180, 10428, -2197, 126, -51,
560, -16988, 10132, 380, 67, -97,
728, -16480, 10428, 2640, 95, -101,
816, -16140, 10380, 4743, 54, -117,
624, -16276, 10416, 6847, 91, -169,
816, -17908, 10592, 9833, 105, -180,
832, -18100, 10624, 13377, 259, -195,
620, -15832, 10456, 16217, 245, -192,
508, -13480, 10324, 17946, 182, -243,
632, -11900, 11052, 18870, 175, -271,
728, -10888, 11632, 19407, 189, -260,
520, -11408, 11848, 20406, 104, -309,
892, -11164, 11968, 21847, 250, -288,
1152, -9552, 12064, 23040, 220, -314,
440, -7820, 12044, 23551, 163, -317,
1060, -6780, 12764, 23939, 198, -320,
752, -5620, 13044, 24214, 251, -329,
640, -4252, 13108, 24248, 150, -312,
584, -2316, 13508, 23728, 303, -310,
1116, -636, 14148, 22785, 297, -308,
672, 48, 14064, 21760, 396, -245,
1164, 592, 14036, 20730, 129, -292,
996, 840, 14476, 20058, 276, -273,
1364, 1364, 14608, 19668, 239, -260,
-132, 1740, 14336, 19419, 91, -283,
1028, 2536, 14652, 19201, 234, -261,
684, 3728, 14584, 18854, 210, -275,
276, 4020, 14132, 18557, 266, -221,
824, 6136, 14464, 17863, 256, -232,
412, 6860, 14176, 16807, 214, -262,
824, 7276, 14120, 15818, 257, -232,
372, 7500, 13764, 15211, 169, -225,
740, 7264, 13888, 14518, 293, -186,
692, 7432, 13620, 14421, 325, -184,
320, 8104, 12916, 14376, 214, -198,
852, 11292, 13248, 13080, 228, -174,
600, 11852, 13056, 11245, 243, -174,
572, 11104, 12860, 9858, 216, -160,
576, 10196, 12692, 9185, 113, -157,
672, 9832, 12636, 8967, 150, -174,
548, 10052, 12284, 8895, 173, -140,
360, 10732, 12112, 8659, 199, -140,
508, 11688, 12092, 8105, 91, -153,
632, 11816, 11908, 7353, 181, -147,
612, 10816, 11708, 7203, 121, -125,
540, 10204, 11460, 7641, 157, -141,
592, 10400, 11152, 8311, 169, -132,
464, 11128, 10636, 8652, 126, -125,
492, 11796, 10596, 8747, 112, -138,
600, 13696, 10444, 8058, 152, -126,
540, 14996, 10156, 6693, 153, -133,
580, 15744, 10028, 4919, 170, -88,
340, 15428, 9996, 3163, 22, -109,
676, 14876, 10012, 1750, 47, -77,
464, 14816, 9768, 548, 38, -78,
568, 14584, 9980, -610, 39, -55,
508, 15488, 9956, -1983, 55, -41,
432, 16540, 9788, -4034, 45, -29,
632, 18260, 9948, -7061, 11, -20,
452, 17772, 9984, -10310, -18, 35,
588, 15972, 10036, -12892, -6, 49,
380, 13916, 10364, -14561, -42, 40,
516, 12248, 10612, -15387, -63, 68,
452, 10848, 10952, -15564, -8, 55,
448, 10260, 11348, -15559, -87, 44,
736, 9472, 11812, -15354, -80, 78,
504, 8408, 12200, -14856, -112, 59,
868, 7456, 12612, -14011, -25, 61,
496, 7716, 13164, -13267, 9, 54,
560, 10016, 13264, -13945, -34, 65,
460, 10608, 13124, -15559, -55, 31,
332, 9380, 13744, -16951, -165, 58,
488, 8248, 14072, -18125, -100, 60,
128, 6348, 13832, -18592, -134, 83,
752, 5260, 14048, -18741, -97, 87,
636, 3476, 13976, -18356, -131, 61,
740, 1928, 14444, -17375, -97, 85,
1096, -76, 15096, -15964, -28, 31,
440, -976, 15036, -13718, -79, 32,
732, -1752, 15428, -11608, -186, 27,
1040, -1128, 16152, -9760, -7, 6,
748, -280, 15996, -8537, 94, 13,
868, 528, 16000, -8001, 122, 4,
500, 540, 15848, -7753, 17, -15,
648, 180, 16096, -7572, 43, 7,
836, 612, 16060, -7624, 40, 14,
636, 1224, 16144, -8195, 8, -27,
600, 1304, 15724, -9075, -27, 6,
572, -200, 15644, -9648, -226, -8,
860, -1304, 15972, -9579, -47, 8,
724, -960, 15784, -9717, -11, 12,
512, -868, 15552, -10196, -55, -2,
1084, -776, 15904, -10953, -23, 46,
796, -804, 15556, -12020, 16, 34,
-752, -1444, 14616, -12911, -238, 11,
1504, -2812, 15700, -13478, -30, 46,
964, -2976, 15212, -13986, -97, 79,
544, -3388, 14480, -14626, -90, 72,
1260, -5868, 14576, -14649, -82, 72,
472, -7364, 14460, -13835, -268, 28,
1228, -7760, 14316, -12896, -104, 27,
160, -7488, 14128, -12319, -195, 0,
1136, -8460, 14224, -11719, -53, 32,
304, -9668, 14112, -10477, -17, 71,
1172, -9224, 14340, -9526, 75, 34,
720, -8648, 13908, -8992, 142, 41,
556, -8448, 13584, -8926, 72, 25,
804, -9456, 13472, -8588, 26, 22,
780, -10512, 13540, -7805, 28, 24,
848, -10872, 13244, -6790, 144, -17,
452, -11160, 12948, -5718, 18, 3,
624, -11752, 13000, -4470, -36, -23,
676, -12660, 13204, -2839, -24, -53,
780, -13744, 13264, -702, 39, -71,
912, -14308, 13264, 1941, 113, -74,
728, -14408, 13192, 4733, 193, -85,
560, -13920, 12928, 7484, 80, -138,
848, -12444, 13280, 9659, 62, -161,
668, -11624, 13400, 11378, 74, -199,
624, -11044, 13112, 12950, 55, -234,
832, -10588, 13572, 14529, 105, -232,
1096, -9244, 13800, 15479, 277, -200,
460, -7744, 13532, 16250, 228, -219,
564, -6528, 13764, 16592, 194, -261,
764, -5388, 14340, 16486, 202, -224,
660, -4712, 14292, 16294, 222, -236,
800, -4060, 14480, 16078, 139, -227,
872, -3288, 14984, 15859, 193, -261,
780, -2980, 14900, 15507, 197, -217,
812, -2908, 15032, 15807, 228, -216,
612, -2888, 15084, 16159, 254, -224,
740, -2348, 15032, 16835, 298, -219,
648, -1108, 15020, 17214, 311, -228,
512, 132, 14868, 17275, 261, -237,
800, 1072, 15064, 17087, 269, -233,
636, 1440, 15172, 16939, 229, -232,
728, 1592, 14776, 17094, 213, -209,
672, 2812, 14712, 17204, 218, -205,
748, 4088, 14652, 16905, 220, -199,
368, 5192, 14540, 16322, 218, -232,
528, 5708, 14480, 15578, 208, -208,
832, 5828, 14400, 15266, 153, -217,
536, 5992, 14180, 15233, 210, -205,
476, 6876, 13676, 15052, 149, -209,
612, 7588, 13784, 14486, 152, -209,
564, 8044, 13516, 14040, 146, -179,
768, 8300, 13388, 13729, 194, -201,
452, 8884, 13308, 13359, 152, -194,
676, 9380, 12800, 12969, 244, -188,
456, 10160, 12612, 12461, 272, -155,
420, 10428, 12364, 11938, 214, -172,
548, 10188, 12072, 11648, 198, -169,
564, 9676, 11828, 11875, 192, -162,
548, 9896, 11528, 12348, 218, -147,
532, 10124, 11176, 12817, 178, -158,
760, 10892, 10660, 13161, 190, -135,
388, 12220, 10396, 13064, 213, -184,
556, 13192, 10052, 12537, 209, -150,
372, 13996, 9620, 11710, 149, -164,
660, 14828, 9348, 10629, 106, -172,
624, 15588, 8932, 9159, 164, -139,
592, 15772, 9024, 7630, 144, -142,
372, 16176, 8828, 6046, 139, -105,
696, 16252, 8788, 4406, 107, -83,
544, 16100, 8592, 2930, 109, -108,
348, 15952, 8516, 1470, 72, -84,
576, 16208, 8664, 51, 68, -62,
364, 16128, 8636, -1420, 69, -73,
416, 16220, 8668, -2919, 38, -42,
492, 16904, 8708, -4683, 48, -10,
448, 18052, 8648, -7097, -6, -11,
540, 18672, 8832, -10118, 15, 4,
200, 18288, 9000, -13174, -43, 22,
816, 17156, 9000, -15920, -125, 18,
304, 15484, 9200, -17977, -104, 49,
448, 13976, 9460, -19400, -131, 68,
620, 13400, 9912, -20654, -186, 95,
616, 13024, 10288, -22037, -140, 114,
600, 12256, 10432, -23365, -158, 124,
416, 11384, 10792, -24639, -207, 98,
892, 10800, 11032, -25947, -186, 140,
456, 8652, 11372, -26822, -162, 159,
540, 6472, 11724, -26941, -213, 161,
704, 1384, 12636, -24960, -263, 122,
628, 1748, 13288, -23014, -173, 127,
940, 2620, 13796, -21941, -149, 148,
576, 2544, 14192, -21384, -98, 118,
584, 1528, 14188, -20993, -115, 110,
524, 312, 14460, -20343, -98, 129,
712, -644, 14636, -19476, -94, 120,
708, -492, 15000, -18939, -12, 111,
628, -1076, 14624, -18687, -101, 83,
408, -1916, 14928, -18406, -112, 86,
556, -3612, 14940, -17720, -183, 86,
916, -3636, 15152, -17021, -46, 84,
432, -3288, 14772, -16891, -15, 107,
660, -3360, 14496, -17106, -151, 50,
700, -4576, 14560, -17271, -73, 84,
276, -5976, 14200, -16899, -111, 70,
268, -6740, 13840, -16342, -151, 71,
908, -6856, 14104, -15948, -136, 80,
792, -7156, 13848, -15736, -178, 64,
580, -7392, 13396, -15740, -147, 73,
964, -8712, 13476, -15470, -4, 109,
664, -8636, 12984, -15274, -8, 79,
400, -8160, 12260, -15567, -138, 91,
964, -9556, 12468, -15626, -127, 54,
720, -10392, 11912, -15512, -61, 88,
852, -11984, 11672, -14819, 13, 79,
740, -13020, 11508, -13745, 41, 75,
608, -12920, 11212, -12613, 64, 72,
616, -12976, 10916, -11742, 82, 85,
552, -13212, 10536, -10939, -6, 37,
636, -14344, 10436, -9843, -2, 1,
708, -15728, 10400, -8125, -61, -14,
720, -16868, 10404, -5819, 7, -24,
856, -16372, 10384, -3583, 39, -33,
540, -16924, 10092, -1287, -1, -51,
856, -17472, 10156, 1378, 97, -71,
580, -18144, 10288, 4339, 90, -134,
704, -18172, 10120, 7618, 102, -123,
684, -17072, 10356, 10550, 145, -158,
688, -15308, 10556, 12667, 150, -171,
496, -13656, 10440, 14076, 104, -200,
808, -12880, 10824, 15001, 133, -228,
928, -12420, 11092, 15909, 243, -202,
492, -11432, 11600, 16565, 171, -218,
568, -10136, 11700, 16865, 118, -259,
632, -9376, 12292, 16925, 45, -278,
796, -8696, 12560, 16938, 111, -240,
844, -7772, 12776, 16839, 153, -234,
904, -6892, 13208, 16455, 244, -237,
528, -6164, 13536, 16000, 191, -237,
768, -5716, 13788, 15497, 105, -258,
680, -5672, 14188, 15287, 102, -251,
908, -4536, 14680, 15278, 306, -229,
1268, -3864, 14404, 14766, 259, -203,
496, -3436, 14580, 14300, 212, -204,
780, -3300, 15100, 14032, 202, -192,
672, -3216, 15224, 14139, 151, -238,
520, -2456, 15404, 14223, 208, -217,
732, -1404, 15436, 14051, 222, -219,
396, -568, 15392, 13666, 183, -205,
752, -320, 15532, 13291, 164, -201,
744, -236, 15636, 13174, 238, -184,
880, 36, 15644, 13224, 249, -173,
536, 744, 15344, 13191, 193, -186,
512, 1500, 15540, 13072, 161, -193,
528, 2308, 15348, 12879, 130, -191,
580, 2544, 15440, 12670, 175, -200,
808, 2544, 15412, 12694, 172, -166,
736, 2752, 15328, 12896, 244, -167,
536, 3528, 14976, 13099, 193, -158,
728, 4048, 15108, 13194, 194, -204,
612, 4600, 14784, 13302, 207, -186,
516, 5392, 14496, 13275, 179, -193,
724, 6420, 14632, 12975, 192, -186,
828, 6888, 14280, 12564, 257, -198,
604, 7008, 14120, 12291, 218, -181,
512, 6980, 13980, 12243, 180, -154,
648, 7476, 13792, 12327, 156, -189,
520, 7924, 13532, 12394, 186, -178,
500, 8472, 13124, 12349, 163, -167,
520, 9072, 13108, 12234, 192, -175,
588, 9412, 12668, 12029, 212, -161,
668, 9600, 12412, 11997, 219, -179,
464, 10056, 12184, 11967, 248, -158,
344, 11020, 11620, 11678, 156, -167,
624, 12212, 11588, 10939, 157, -165,
488, 12996, 11436, 9800, 137, -144,
516, 13284, 10984, 8579, 160, -152,
452, 13196, 11032, 7511, 114, -125,
524, 13012, 10812, 6670, 138, -121,
396, 13128, 10580, 5923, 126, -120,
568, 13148, 10768, 5290, 88, -123,
476, 13180, 10484, 4614, 106, -118,
648, 12824, 10432, 4196, 62, -116,
576, 12552, 10248, 4086, 123, -113,
496, 11984, 10208, 4239, 91, -94,
624, 11656, 10060, 4685, 150, -116,
572, 11864, 9724, 5163, 108, -112,
392, 11976, 9620, 5596, 137, -122,
564, 12424, 9392, 5972, 140, -132,
528, 13092, 9168, 6057, 137, -116,
484, 14272, 8992, 5671, 147, -87,
396, 15068, 8760, 4785, 133, -95,
440, 15632, 8620, 3589, 114, -91,
480, 16276, 8712, 2116, 66, -91,
416, 16020, 8632, 710, 82, -98,
476, 15356, 8488, -389, 59, -53,
480, 15284, 8560, -1362, 57, -55,
416, 16184, 8684, -2647, 21, -51,
344, 17284, 8604, -4598, 15, -40,
516, 17236, 8784, -6824, -56, -18,
504, 16260, 8764, -8751, -65, 0,
472, 15512, 9176, -10226, -51, -6,
536, 14904, 9148, -11474, -41, 28,
608, 14540, 9648, -12634, 4, 48,
328, 14288, 9780, -13808, 3, 45,
248, 13212, 9880, -14802, -123, 39,
608, 12348, 10392, -15339, -134, 55,
636, 12164, 10820, -15952, -137, 47,
688, 11648, 11180, -16587, -98, 69,
416, 10944, 11396, -17134, -65, 64,
528, 9856, 11764, -17417, -96, 67,
448, 7984, 12324, -17083, -98, 59,
616, 7420, 12668, -16468, -100, 39,
612, 6464, 13108, -15718, -60, 45,
652, 5600, 13552, -14677, -73, 55,
748, 5492, 14032, -13775, -57, 48,
616, 5708, 14084, -13228, -29, 49,
476, 6256, 14348, -13203, -18, 32,
524, 6344, 14460, -13580, -122, 39,
432, 6236, 14824, -14195, -145, 58,
752, 5628, 14920, -14896, -89, 63,
616, 4724, 14872, -15471, -78, 47,
652, 3912, 14716, -15820, -100, 51,
764, 2484, 15024, -15814, -112, 56,
728, 1164, 15312, -15332, -39, 64,
612, 548, 15268, -14731, -7, 52,
600, 168, 15424, -14197, -77, 37,
784, -424, 15700, -13668, -39, 70,
676, -804, 15668, -13079, -37, 54,
660, -972, 15512, -12705, -60, 39,
592, -1020, 15800, -12594, -78, 31,
700, -1340, 15660, -12602, -38, 67,
664, -1992, 15572, -12584, -62, 31,
552, -2508, 15592, -12551, -67, 47,
568, -3028, 15284, -12438, -60, 27,
800, -3448, 15260, -12363, -37, 60,
888, -4392, 15404, -12060, -24, 39,
664, -4952, 15040, -11605, 40, 37,
432, -4528, 15048, -11481, -86, 39,
1076, -3928, 14872, -11845, -43, 43,
176, -4024, 14588, -12672, -78, 30,
1112, -5304, 14480, -13250, -115, 59,
-116, -6092, 14232, -13679, -140, 73,
1048, -6352, 14356, -13982, -60, 72,
324, -7428, 13456, -14057, -163, 65,
912, -8456, 13876, -13774, -33, 55,
648, -9124, 13296, -13383, -78, 39,
520, -9364, 12928, -12933, -99, 36,
808, -9632, 12928, -12662, -57, 53,
816, -10264, 12688, -12331, -47, 73,
712, -11084, 12248, -11733, -19, 28,
908, -11912, 12364, -10853, -23, 43,
800, -12468, 12056, -9836, 51, 38,
684, -12912, 11904, -8662, 55, 3,
576, -13600, 11700, -7304, 28, -5,
788, -14756, 11836, -5471, 50, -34,
620, -16388, 11560, -2832, -13, -53,
756, -17164, 11688, 379, 7, -89,
568, -17544, 11604, 3903, 21, -110,
580, -17496, 11640, 7506, -39, -152,
936, -17244, 11736, 11161, 44, -182,
1092, -16192, 11900, 14574, 198, -200,
992, -13664, 11844, 16908, 335, -219,
400, -11488, 11664, 18237, 311, -247,
736, -9856, 12004, 18965, 251, -251,
644, -8852, 12388, 19308, 276, -235,
564, -7112, 12668, 19264, 228, -234,
896, -5252, 13480, 18500, 186, -248,
848, -3608, 13900, 17078, 364, -220,
244, -2996, 13960, 15233, 187, -231,
960, -4392, 14560, 14722, 166, -211,
632, -4560, 14912, 14558, 154, -207,
784, -4432, 14900, 14738, 225, -216,
556, -4412, 14872, 15136, 127, -199,
1748, -1712, 15844, 14764, 466, -180,
-680, 616, 14728, 13634, -132, -230,
796, 316, 16084, 12066, 213, -173,
1244, -188, 16168, 11220, 182, -180,
528, 1180, 15344, 10353, 294, -163,
812, 816, 15316, 9557, 33, -137,
1044, 928, 16484, 8642, 241, -153,
-1968, 1744, 14716, 8212, -180, -147,
592, 2148, 16948, 7514, 613, -55,
760, 4768, 16172, 5709, -101, -123,
64, 5648, 16244, 3090, 297, -42,
1064, 4464, 15840, 882, -17, -67,
624, 2644, 16288, -329, 87, -81,
576, 1784, 15696, -796, 33, -67,
912, 928, 16568, -863, -50, -94,
412, 452, 16268, -566, 65, -74,
1000, 148, 16400, -135, 103, -60,
348, 244, 16044, 408, 82, -56,
1224, -20, 16352, 1028, 137, -72,
116, -244, 16088, 1789, 49, -108,
1648, -1028, 16384, 2969, 99, -90,
-16, -892, 16160, 4320, 105, -105,
748, 1068, 15844, 5135, 28, -116,
1076, 3740, 16260, 4479, 190, -86,
760, 6880, 16124, 2268, 54, -73,
428, 8496, 15860, -1216, 65, -57,
896, 7844, 16140, -4766, 7, -32,
608, 6108, 16116, -7544, 24, -7,
592, 3908, 15736, -9336, 10, 19,
664, 1296, 15948, -9951, -37, 6,
416, -1360, 15904, -9154, -73, -10,
896, -1628, 16112, -7918, 49, 6,
504, -1724, 16028, -6873, -92, 2,
896, -1640, 16188, -5975, 113, -24,
588, -1624, 16176, -5227, -30, -30,
756, -1660, 16336, -4578, 28, -47,
-592, -7192, 15608, -2625, -254, -83,
2468, -7784, 17080, 1697, 244, -61,
440, -3336, 16056, 3992, 219, -129,
676, -1360, 15668, 4598, 251, -98,
536, -1484, 16016, 5269, -73, -111,
908, 1168, 16652, 5062, 159, -114,
636, 632, 16024, 4394, 77, -85,
32, -1456, 16528, 5191, 72, -76,
9144, 4196, 16788, 3037, 401, 76,
-4296, 8328, 14060, -662, -435, -27,
4156, 6436, 16632, -4593, 382, -19,
-1440, 3148, 16384, -6724, -324, -102,
1036, 496, 17036, -7454, 150, 1,
-88, -1624, 16200, -6906, -96, -41,
272, -1640, 16404, -6146, -21, -40,
1560, -1624, 16288, -5568, 151, -1,
116, -1552, 15612, -5081, -136, -63,
1476, -1652, 16120, -4692, 167, 10,
372, -1756, 16032, -4365, -124, -29,
1068, -1688, 16092, -4166, 159, -5,
192, -1692, 16276, -3995, -113, -44,
-1216, -5560, 16096, -2860, -233, -102,
1504, -5312, 17124, -820, 298, -124,
820, -3928, 15696, 672, 153, -84,
576, -2452, 15184, 1473, 84, -59,
1424, -1940, 16180, 1811, 40, -114,
992, -1712, 16176, 1962, 168, -72,
208, -892, 15636, 1785, 66, -75,
808, -1268, 16572, 1571, -20, -68,
576, -1648, 16384, 1706, 181, -56,
668, -1424, 16152, 1897, 53, -77,
512, -1560, 16276, 2076, 58, -103,
988, -1528, 16464, 2348, 128, -88,
340, -1308, 16036, 2618, 63, -80,
1016, 1336, 16372, 1800, 126, -64,
388, 1936, 16280, 317, 91, -82,
464, 892, 15952, -888, 33, -78,
616, -1144, 16208, -1114, 13, -57,
988, -1540, 16436, -728, 82, -62,
468, -1528, 16056, -350, 62, -54,
680, -1484, 16384, 46, 27, -97,
684, -1480, 16400, 420, 82, -61,
432, -1396, 16144, 800, 55, -70,
712, -1436, 16204, 1204, 49, -80,
824, -1376, 16516, 1604, 95, -111,
704, -1444, 16172, 2062, 126, -66,
708, -1328, 16412, 2546, 61, -107,
804, -1380, 16488, 3077, 97, -77,
572, -1392, 16252, 3684, 106, -107,
624, -1340, 16308, 4332, 101, -113,
696, -1304, 16364, 5134, 94, -116,
676, -1300, 16268, 6011, 132, -106,
724, -1156, 16124, 6988, 99, -140,
796, -1196, 16156, 8120, 139, -125,
3444, 4884, 15876, 6863, 258, -210,
-1812, 10124, 15116, 2542, -49, -82,
1784, 11332, 16584, -3154, 105, -46,
-280, 7320, 16440, -7367, -156, -34,
636, 2084, 16604, -9000, 44, -9,
352, -1552, 15920, -8262, 10, 10,
124, -1588, 16016, -7109, -107, -23,
1476, -1564, 16424, -6092, 121, -31,
364, -1596, 15848, -5195, -75, -42,
1020, -1520, 16300, -4441, 103, -38,
672, -1580, 16392, -3723, -55, -54,
736, -1564, 16160, -3085, 106, -40,
544, -1604, 16152, -2546, -56, -59,
700, -1668, 16524, -2040, 112, -32,
688, -1608, 16320, -1558, 37, -33,
628, -1700, 16172, -1109, 33, -45,
644, -1892, 16376, -591, 49, -67,
876, -1736, 16512, -7, 99, -87,
408, -1536, 16076, 418, 41, -76,
912, -1576, 16164, 859, 94, -106,
336, -164, 16468, 858, -19, -110,
1104, -928, 16592, 749, 132, -78,
64, -1520, 16128, 1153, 37, -85,
976, -1404, 16288, 1631, 100, -55,
340, 2284, 16092, 852, -105, -74,
196, 2668, 16444, -980, 296, -21,
892, 2576, 15660, -2877, -65, -42,
84, 324, 15968, -3898, -10, -55,
1320, -1188, 16340, -3958, 110, -29,
184, -1464, 15848, -3685, -7, -42,
868, -1624, 16356, -3400, 96, -21,
968, -1660, 16476, -3154, 4, -45,
124, -1640, 16056, -2999, 44, -56,
1196, -1700, 16500, -2845, 56, -49,
276, -1696, 16156, -2783, 40, -45,
992, -1676, 16064, -2762, 91, -67,
452, -1708, 16072, -2812, -30, -33,
304, -3316, 15988, -2473, -35, -41,
1268, -4728, 16208, -1047, 65, -43,
696, -4684, 15992, 522, 54, -69,
876, -3788, 16028, 1858, 125, -79,
828, -2252, 16076, 2446, 110, -101,
844, -1660, 16224, 2452, 145, -85,
576, -1684, 15888, 2398, 155, -84,
740, -2804, 16300, 2912, 34, -74,
680, -3628, 16392, 4029, 101, -105,
660, -3816, 16320, 5513, 90, -133,
876, -2276, 16272, 6576, 225, -117,
24, -892, 16048, 6727, 46, -138,
908, -1360, 16152, 7131, 216, -113,
416, -1272, 16164, 7748, 26, -147,
-1308, 2532, 15812, 7676, -184, -90,
-556, 2384, 16640, 6913, 456, -73,
1524, 4116, 16292, 5215, 15, -119,
-624, 5572, 15920, 2813, 116, -69,
2084, 8248, 16280, -766, 227, -49,
-100, 9488, 15408, -5490, -63, -45,
944, 7316, 15696, -9655, -31, -3,
948, 3764, 15692, -12330, -71, 1,
148, 132, 15300, -13195, -154, 13,
1916, -1540, 15532, -12852, -33, 4,
-128, -1720, 15448, -12459, -129, 16,
1156, -1872, 15936, -12287, 14, 41,
-436, -2908, 15468, -12053, -276, 1,
1316, -4096, 15952, -11379, 75, 36,
-416, -7088, 15320, -9894, -309, -17,
1476, -10808, 15864, -5909, -91, -55,
616, -11004, 15692, -1420, -273, -69,
1484, -7888, 16268, 1702, 137, -79,
400, -6880, 15596, 3734, 29, -94,
1320, -6468, 16028, 5727, 272, -129,
