aX, aY, aZ, rX, rY, rZ
592, -15352, 5072, -193, 76, -41,
1684, -14872, 4996, -563, 194, -63,
696, -15496, 4912, -674, 151, -81,
192, -16268, 4744, -450, 124, -23,
456, -15832, 4796, -77, 68, -67,
1028, -15064, 5064, -266, 43, -79,
572, -15776, 5072, -317, 72, -74,
404, -15796, 4948, -43, -50, -86,
484, -16208, 4796, 254, -123, -131,
732, -15864, 5208, 527, -154, -113,
1216, -16128, 5920, 747, 75, -62,
-456, -16972, 5208, 1354, -120, -104,
792, -17716, 5384, 2392, 131, -83,
904, -18284, 5140, 3979, 85, -111,
752, -17964, 5080, 5595, 166, -113,
808, -17032, 5604, 6679, 140, -120,
364, -16344, 5660, 7472, 158, -134,
536, -16084, 5984, 8030, 155, -140,
516, -15996, 6272, 8657, 104, -119,
720, -15616, 6436, 9238, 132, -155,
776, -15440, 6896, 9687, 100, -146,
800, -15668, 7220, 10311, 185, -152,
472, -15036, 7440, 10858, 105, -187,
648, -14724, 7876, 11213, 96, -158,
616, -14140, 8276, 11534, 74, -180,
608, -14032, 8340, 11775, 91, -180,
920, -14188, 8984, 12201, 133, -177,
1080, -13536, 9220, 12555, 257, -162,
-20, -12380, 9312, 12622, 136, -201,
812, -11344, 10132, 12176, 220, -184,
732, -10924, 10420, 11529, 63, -176,
496, -10924, 10648, 11066, 125, -155,
964, -11444, 11252, 10945, 70, -195,
732, -11656, 11504, 11283, 174, -167,
640, -10312, 11876, 11288, 239, -146,
600, -9056, 11996, 10798, 155, -169,
608, -8848, 12316, 10006, 121, -146,
740, -8900, 12528, 9457, 91, -173,
760, -9420, 12764, 9256, 95, -190,
860, -9696, 13448, 9454, 139, -173,
840, -9744, 13364, 9919, 194, -166,
720, -8128, 13472, 10009, 246, -149,
496, -6460, 13596, 9273, 102, -144,
720, -6080, 13984, 8225, 109, -150,
868, -6864, 14200, 7677, 60, -146,
740, -7444, 14340, 7686, 75, -146,
764, -7504, 14380, 7890, 175, -142,
716, -7616, 14624, 8458, 149, -133,
832, -5860, 14904, 8448, 186, -118,
600, -4696, 14864, 7773, 134, -145,
592, -4680, 15012, 7087, 129, -149,
708, -5232, 15156, 6695, 87, -116,
812, -5388, 15308, 6740, 98, -147,
736, -5040, 15332, 6783, 129, -122,
744, -5084, 15540, 6938, 138, -135,
784, -4616, 15424, 7086, 202, -141,
852, -3380, 15664, 6851, 148, -140,
440, -2908, 15436, 6299, 72, -128,
668, -3844, 15688, 6202, 84, -136,
768, -3964, 16068, 6421, 162, -131,
764, -4340, 15828, 6966, 132, -118,
664, -4400, 15644, 7785, 144, -119,
-28, -2356, 15608, 7963, 175, -141,
1096, -1668, 15856, 7676, 159, -141,
380, -1316, 15880, 7314, 90, -141,
852, -1536, 16112, 7121, 187, -132,
536, -2028, 16060, 7293, 96, -120,
588, -2196, 16256, 7808, 129, -125,
748, -1488, 16072, 8285, 153, -139,
748, -1248, 16088, 8738, 77, -143,
628, -824, 15968, 9187, 135, -154,
164, -260, 15980, 9566, 167, -167,
284, -120, 15804, 10002, 122, -72,
916, 564, 15976, 10325, 123, -176,
700, 684, 15804, 10684, 205, -167,
408, 716, 15276, 11319, 18, -153,
528, 3492, 16140, 11020, 97, -155,
-632, 5076, 15684, 9836, 194, -133,
1856, 5284, 15488, 8511, 306, -84,
568, 4764, 15076, 7742, 113, -131,
1032, 4188, 15600, 7324, 145, -134,
660, 3524, 15336, 7495, 170, -98,
288, 3376, 15420, 7945, 70, -128,
652, 3828, 15560, 8391, 166, -129,
444, 4904, 15120, 8586, 109, -147,
632, 6060, 15064, 8274, 167, -111,
800, 6352, 15120, 7863, 108, -119,
580, 6204, 14460, 7630, 176, -112,
588, 6060, 14616, 7613, 39, -126,
948, 6112, 14804, 7837, 196, -140,
388, 6748, 14392, 7889, 191, -135,
600, 7364, 14280, 7724, 125, -118,
592, 7920, 14204, 7408, 51, -147,
228, 7376, 14320, 7300, 191, -114,
552, 7472, 13840, 7531, 108, -107,
480, 7488, 13780, 7777, 213, -100,
548, 7732, 13524, 8128, 137, -124,
476, 8280, 13372, 8471, 128, -131,
772, 9256, 13272, 8455, 148, -143,
544, 10284, 13068, 7952, 160, -144,
576, 10112, 12928, 7416, 106, -126,
796, 9668, 12732, 7338, 147, -141,
384, 10108, 12368, 7317, 109, -137,
424, 10484, 12348, 7070, 81, -140,
516, 10680, 12180, 6854, 133, -112,
628, 10648, 12092, 6776, 153, -111,
552, 10640, 11652, 6824, 164, -83,
460, 10636, 11672, 6950, 134, -120,
636, 10836, 11576, 7218, 217, -119,
292, 11256, 11192, 7233, 117, -124,
624, 11884, 11324, 7172, 123, -110,
464, 12168, 10820, 6975, 180, -122,
304, 12296, 10368, 6705, 121, -116,
740, 12040, 10516, 6696, 131, -96,
520, 12744, 10124, 6733, 184, -83,
368, 13836, 9796, 6045, 98, -104,
612, 13504, 10068, 5439, 73, -116,
424, 13048, 9724, 5192, 115, -125,
428, 12784, 9664, 5119, 90, -91,
508, 12796, 9532, 5207, 91, -124,
388, 12668, 9116, 5462, 108, -120,
380, 12820, 8892, 5751, 106, -97,
632, 13484, 8932, 5840, 127, -117,
596, 14004, 8544, 5618, 151, -119,
632, 13352, 8484, 5647, 159, -100,
588, 13356, 8108, 5926, 173, -94,
328, 14308, 8048, 5737, 136, -108,
452, 14148, 7824, 5640, 124, -105,
548, 14688, 7672, 5413, 129, -116,
428, 14828, 7404, 5036, 90, -74,
600, 14604, 7080, 4759, 153, -98,
588, 14620, 6876, 4694, 143, -76,
448, 15288, 6924, 4362, 132, -58,
464, 16200, 6756, 3597, 120, -77,
228, 17176, 6600, 2260, 38, -92,
508, 16396, 6572, 1101, 2, -70,
528, 14920, 6392, 645, 69, -57,
696, 14052, 6596, 856, 109, -59,
428, 14344, 6416, 1134, 90, -80,
488, 14852, 6432, 1183, 66, -74,
372, 15544, 6448, 841, 77, -59,
448, 15836, 6412, 289, 57, -67,
568, 15008, 6480, -6, 88, -68,
420, 13452, 6348, 544, 89, -90,
696, 12108, 6596, 1910, 136, -75,
540, 13720, 6216, 2965, 186, -80,
656, 18172, 6204, 2043, 193, -78,
16, 19376, 5020, -564, -122, -65,
892, 13896, 6528, -986, 3, -119,
420, 13264, 6376, -21, 140, -66,
384, 15536, 6024, -15, 89, -52,
528, 15152, 6048, -186, 86, -94,
368, 14740, 6156, -164, 72, -51,
284, 15444, 5836, -298, 0, -54,
172, 15576, 5924, -683, 20, -65,
800, 15184, 6268, -989, 70, -72,
512, 15388, 6020, -1074, 111, -28,
320, 16740, 6112, -1854, 38, -71,
416, 16920, 6260, -3080, 65, -38,
300, 16132, 6368, -4049, -37, -67,
452, 15460, 6420, -4484, 34, -54,
380, 15016, 6440, -4803, -56, -50,
700, 14968, 6652, -5013, 39, -43,
328, 14940, 6796, -5244, -42, -57,
